Epoch	AUC-12	AUC-13	AUC-14	AUC-15	AUC-16	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.374127	0.347421	0.275765	0.480651	0.469013	0.389395	0.374127	0.389395	
10.000000	0.497856	0.718111	0.683884	0.407340	0.487733	0.558985	0.497856	0.558985	
20.000000	0.444026	0.506098	0.659228	0.472919	0.412324	0.498919	0.472919	0.558985	
30.000000	0.647037	0.496056	0.723116	0.520778	0.533281	0.584054	0.533281	0.584054	
40.000000	0.431058	0.310862	0.533853	0.479776	0.489481	0.449006	0.479776	0.584054	
50.000000	0.353894	0.712724	0.536132	0.556803	0.488146	0.529540	0.536132	0.584054	
60.000000	0.283251	0.344229	0.361503	0.404218	0.571990	0.393038	0.361503	0.584054	
70.000000	0.659722	0.403784	0.348459	0.508103	0.584687	0.500951	0.508103	0.584054	
80.000000	0.595240	0.416029	0.560600	0.542322	0.373767	0.497592	0.542322	0.584054	
90.000000	0.539906	0.685488	0.559186	0.642455	0.577276	0.600862	0.577276	0.600862	
100.000000	0.567319	0.572087	0.679695	0.599074	0.390480	0.561731	0.572087	0.600862	
110.000000	0.377696	0.511256	0.488944	0.653372	0.589132	0.524080	0.511256	0.600862	
120.000000	0.673740	0.707038	0.697654	0.652784	0.441012	0.634445	0.673740	0.634445	
130.000000	0.582901	0.485846	0.466848	0.360195	0.697433	0.518645	0.485846	0.634445	
140.000000	0.684719	0.602596	0.492821	0.453175	0.647974	0.576257	0.602596	0.634445	
150.000000	0.573344	0.744095	0.798558	0.582966	0.506511	0.641095	0.582966	0.641095	
160.000000	0.376087	0.551163	0.777624	0.657628	0.424564	0.557413	0.551163	0.641095	
170.000000	0.619719	0.631502	0.780582	0.489066	0.551147	0.614403	0.619719	0.641095	
180.000000	0.366435	0.330767	0.419497	0.431788	0.561464	0.421990	0.419497	0.641095	
190.000000	0.604505	0.448990	0.508479	0.512744	0.562370	0.527417	0.512744	0.641095	
200.000000	0.556728	0.504158	0.507477	0.541169	0.662854	0.554477	0.541169	0.641095	
210.000000	0.699486	0.720589	0.668085	0.542337	0.458433	0.617786	0.668085	0.641095	
220.000000	0.643659	0.542636	0.672795	0.573589	0.549162	0.596368	0.573589	0.641095	
230.000000	0.644295	0.639547	0.326482	0.621692	0.592378	0.564879	0.621692	0.641095	
240.000000	0.604907	0.375370	0.779205	0.596467	0.480792	0.567348	0.596467	0.641095	
250.000000	0.367914	0.436439	0.255076	0.456140	0.447406	0.392595	0.436439	0.641095	
260.000000	0.557977	0.676111	0.572826	0.543919	0.531527	0.576472	0.557977	0.641095	
270.000000	0.395713	0.541238	0.378201	0.462324	0.459722	0.447440	0.459722	0.641095	
280.000000	0.683303	0.680511	0.725476	0.571908	0.472584	0.626756	0.680511	0.641095	
290.000000	0.721707	0.707923	0.675618	0.685037	0.527909	0.663639	0.685037	0.663639	
300.000000	0.723690	0.762640	0.714342	0.702436	0.460310	0.672683	0.714342	0.672683	
310.000000	0.513806	0.456396	0.523078	0.439266	0.538872	0.494284	0.513806	0.672683	
320.000000	0.409357	0.619986	0.501852	0.546771	0.381189	0.491831	0.501852	0.672683	
330.000000	0.549001	0.608346	0.533042	0.541630	0.373149	0.521033	0.541630	0.672683	
340.000000	0.563163	0.644083	0.651515	0.458165	0.617473	0.586880	0.617473	0.672683	
350.000000	0.495021	0.499918	0.588547	0.493399	0.548202	0.525017	0.499918	0.672683	
360.000000	0.388572	0.425554	0.384015	0.285789	0.633239	0.423434	0.388572	0.672683	
370.000000	0.685831	0.581419	0.636008	0.613429	0.545710	0.612479	0.613429	0.672683	
380.000000	0.457462	0.523191	0.383414	0.386306	0.588207	0.467716	0.457462	0.672683	
390.000000	0.575023	0.556034	0.668097	0.544042	0.615317	0.591703	0.575023	0.672683	
400.000000	0.612749	0.592591	0.555351	0.441775	0.576671	0.555827	0.576671	0.672683	
410.000000	0.655212	0.569588	0.440169	0.417208	0.580135	0.532463	0.569588	0.672683	
420.000000	0.603601	0.648793	0.514969	0.488586	0.541873	0.559564	0.541873	0.672683	
430.000000	0.480023	0.489181	0.328542	0.406040	0.338149	0.408387	0.406040	0.672683	
440.000000	0.430127	0.653559	0.571690	0.468583	0.606540	0.546100	0.571690	0.672683	
450.000000	0.598385	0.538401	0.657535	0.710129	0.476131	0.596116	0.598385	0.672683	
460.000000	0.429218	0.453568	0.540096	0.623423	0.595145	0.528290	0.540096	0.672683	
470.000000	0.557975	0.543808	0.655161	0.579083	0.414173	0.550040	0.557975	0.672683	
480.000000	0.529488	0.628730	0.512414	0.495138	0.557716	0.544697	0.529488	0.672683	
490.000000	0.514902	0.567164	0.522438	0.369325	0.605467	0.515859	0.522438	0.672683	
500.000000	0.447011	0.465010	0.320163	0.445460	0.406429	0.416815	0.445460	0.672683	
510.000000	0.506717	0.619124	0.493656	0.455507	0.672450	0.549491	0.506717	0.672683	
520.000000	0.621389	0.665769	0.666768	0.466357	0.496682	0.583393	0.621389	0.672683	
530.000000	0.596566	0.645328	0.630119	0.449081	0.701801	0.604579	0.630119	0.672683	
540.000000	0.684199	0.611397	0.497555	0.662325	0.389769	0.569049	0.611397	0.672683	
550.000000	0.581966	0.446856	0.680124	0.666332	0.522469	0.579549	0.581966	0.672683	
560.000000	0.615649	0.464747	0.656736	0.712723	0.621413	0.614254	0.621413	0.672683	
570.000000	0.594828	0.425578	0.561172	0.636775	0.608548	0.565380	0.594828	0.672683	
