Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.567581	0.521903	0.531027	0.433575	0.504712	0.538148	0.516158	0.526465	0.516158	
10.000000	0.475229	0.476891	0.491781	0.535336	0.550690	0.541775	0.511950	0.513559	0.516158	
20.000000	0.583583	0.524789	0.564216	0.490800	0.344023	0.495893	0.500551	0.510341	0.516158	
30.000000	0.473347	0.467742	0.461461	0.471081	0.538291	0.519200	0.488520	0.472214	0.516158	
40.000000	0.435103	0.561826	0.528363	0.562155	0.633387	0.554885	0.545953	0.558356	0.545953	
50.000000	0.547991	0.536219	0.563796	0.543673	0.538656	0.549191	0.546588	0.545832	0.546588	
60.000000	0.491275	0.483735	0.482910	0.477881	0.574796	0.509164	0.503294	0.487505	0.546588	
70.000000	0.553027	0.512112	0.530140	0.523560	0.621208	0.508876	0.541487	0.526850	0.546588	
80.000000	0.593462	0.554716	0.448966	0.454803	0.430400	0.498366	0.496786	0.476585	0.546588	
90.000000	0.463395	0.556588	0.456202	0.564061	0.657763	0.552573	0.541764	0.554580	0.546588	
100.000000	0.518084	0.585607	0.520036	0.534910	0.556635	0.512813	0.538014	0.527473	0.546588	
110.000000	0.432792	0.551889	0.524889	0.542586	0.640319	0.496371	0.531474	0.533737	0.546588	
120.000000	0.512235	0.624532	0.479348	0.588123	0.580659	0.454716	0.539935	0.546447	0.546588	
130.000000	0.484291	0.496634	0.504864	0.465534	0.566083	0.499389	0.502799	0.498012	0.546588	
140.000000	0.536535	0.616238	0.589709	0.545690	0.617774	0.545331	0.575213	0.567700	0.575213	
150.000000	0.555948	0.542573	0.571748	0.570237	0.413692	0.482533	0.522788	0.549260	0.575213	
160.000000	0.605851	0.606568	0.526298	0.478369	0.467578	0.534674	0.536556	0.530486	0.575213	
170.000000	0.533031	0.542139	0.532313	0.461257	0.657084	0.464256	0.531680	0.532672	0.575213	
180.000000	0.532344	0.565176	0.451518	0.481360	0.603003	0.534344	0.527958	0.533344	0.575213	
190.000000	0.557190	0.619740	0.500945	0.429814	0.652681	0.521765	0.547022	0.539477	0.575213	
200.000000	0.554365	0.470513	0.503398	0.524175	0.651246	0.541515	0.540869	0.532845	0.575213	
210.000000	0.542896	0.614589	0.546483	0.561787	0.546702	0.543818	0.559379	0.546593	0.575213	
220.000000	0.561959	0.545114	0.452401	0.554034	0.628122	0.487533	0.538194	0.549574	0.575213	
230.000000	0.576020	0.504606	0.545087	0.559523	0.631676	0.517187	0.555683	0.552305	0.575213	
240.000000	0.566150	0.449710	0.514488	0.456313	0.509763	0.529956	0.504397	0.512126	0.575213	
250.000000	0.544103	0.426682	0.484854	0.439367	0.531007	0.529961	0.492662	0.507408	0.575213	
