Epoch	AUC-9	AUC-10	AUC-11	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.554752	0.354277	0.639496	0.516175	0.554752	0.516175	
10.000000	0.501311	0.696459	0.536084	0.577951	0.536084	0.577951	
20.000000	0.536938	0.717534	0.667363	0.640612	0.667363	0.640612	
30.000000	0.518505	0.505683	0.617998	0.547395	0.518505	0.640612	
40.000000	0.465513	0.542450	0.649823	0.552595	0.542450	0.640612	
50.000000	0.462089	0.681173	0.681648	0.608303	0.681173	0.640612	
60.000000	0.444806	0.556410	0.639573	0.546930	0.556410	0.640612	
70.000000	0.567814	0.676407	0.621903	0.622041	0.621903	0.640612	
80.000000	0.546120	0.631416	0.687437	0.621658	0.631416	0.640612	
90.000000	0.503671	0.476020	0.608089	0.529260	0.503671	0.640612	
100.000000	0.520356	0.535703	0.583521	0.546527	0.535703	0.640612	
110.000000	0.469412	0.572290	0.611983	0.551228	0.572290	0.640612	
120.000000	0.493657	0.674434	0.556947	0.575013	0.556947	0.640612	
130.000000	0.524884	0.658860	0.559527	0.581090	0.559527	0.640612	
140.000000	0.479310	0.675211	0.644253	0.599591	0.644253	0.640612	
150.000000	0.518018	0.664417	0.595767	0.592734	0.595767	0.640612	
160.000000	0.541106	0.537214	0.610779	0.563033	0.541106	0.640612	
170.000000	0.455832	0.502900	0.477233	0.478655	0.477233	0.640612	
180.000000	0.575573	0.606060	0.641489	0.607708	0.606060	0.640612	
190.000000	0.502128	0.444899	0.664403	0.537143	0.502128	0.640612	
200.000000	0.448643	0.441651	0.461773	0.450689	0.448643	0.640612	
210.000000	0.492074	0.518974	0.645432	0.552160	0.518974	0.640612	
220.000000	0.493645	0.583146	0.561041	0.545944	0.561041	0.640612	
230.000000	0.506857	0.695973	0.573485	0.592105	0.573485	0.640612	
240.000000	0.543860	0.717739	0.635962	0.632520	0.635962	0.640612	
250.000000	0.548777	0.535349	0.486878	0.523668	0.535349	0.640612	
260.000000	0.503138	0.667717	0.655141	0.608665	0.655141	0.640612	
270.000000	0.525116	0.683624	0.658496	0.622412	0.658496	0.640612	
280.000000	0.588522	0.684376	0.705344	0.659414	0.684376	0.659414	
290.000000	0.591360	0.673832	0.697068	0.654086	0.673832	0.659414	
300.000000	0.588631	0.705752	0.696226	0.663536	0.696226	0.663536	
310.000000	0.549365	0.702222	0.644569	0.632052	0.644569	0.663536	
320.000000	0.538120	0.684362	0.638205	0.620229	0.638205	0.663536	
330.000000	0.563686	0.685767	0.669776	0.639743	0.669776	0.663536	
340.000000	0.590431	0.705305	0.706213	0.667316	0.705305	0.667316	
350.000000	0.518938	0.705848	0.686167	0.636984	0.686167	0.667316	
360.000000	0.562824	0.644954	0.693501	0.633760	0.644954	0.667316	
370.000000	0.581469	0.693206	0.670673	0.648450	0.670673	0.667316	
380.000000	0.532429	0.634952	0.505127	0.557503	0.532429	0.667316	
390.000000	0.562256	0.638616	0.649530	0.616800	0.638616	0.667316	
400.000000	0.557102	0.701322	0.639054	0.632492	0.639054	0.667316	
410.000000	0.588844	0.711592	0.686806	0.662414	0.686806	0.667316	
420.000000	0.585175	0.677567	0.715399	0.659380	0.677567	0.667316	
430.000000	0.582303	0.705444	0.666386	0.651378	0.666386	0.667316	
440.000000	0.579092	0.719406	0.711507	0.670002	0.711507	0.670002	
450.000000	0.564224	0.697392	0.705612	0.655743	0.697392	0.670002	
460.000000	0.547038	0.654755	0.716620	0.639471	0.654755	0.670002	
470.000000	0.545600	0.634057	0.654263	0.611307	0.634057	0.670002	
480.000000	0.555100	0.673369	0.686913	0.638461	0.673369	0.670002	
490.000000	0.558975	0.647694	0.709137	0.638602	0.647694	0.670002	
500.000000	0.574518	0.693697	0.692705	0.653640	0.692705	0.670002	
510.000000	0.583023	0.478624	0.711509	0.591052	0.583023	0.670002	
520.000000	0.590975	0.696715	0.670895	0.652862	0.670895	0.670002	
530.000000	0.564709	0.693213	0.643638	0.633853	0.643638	0.670002	
540.000000	0.569447	0.718426	0.660838	0.649571	0.660838	0.670002	
550.000000	0.585512	0.716832	0.705652	0.669332	0.705652	0.670002	
560.000000	0.595898	0.686893	0.708635	0.663808	0.686893	0.670002	
570.000000	0.525236	0.602916	0.671979	0.600043	0.602916	0.670002	
580.000000	0.543583	0.695029	0.695162	0.644591	0.695029	0.670002	
590.000000	0.593104	0.686874	0.698548	0.659508	0.686874	0.670002	
600.000000	0.587768	0.699834	0.719291	0.668964	0.699834	0.670002	
610.000000	0.548621	0.694469	0.701351	0.648147	0.694469	0.670002	
620.000000	0.582779	0.701868	0.713785	0.666144	0.701868	0.670002	
630.000000	0.590303	0.696003	0.710707	0.665671	0.696003	0.670002	
640.000000	0.596587	0.706333	0.726634	0.676518	0.706333	0.676518	
650.000000	0.569982	0.713257	0.656599	0.646613	0.656599	0.676518	
660.000000	0.588802	0.704679	0.697633	0.663705	0.697633	0.676518	
670.000000	0.522333	0.717083	0.706525	0.648647	0.706525	0.676518	
680.000000	0.588145	0.687147	0.714838	0.663377	0.687147	0.676518	
690.000000	0.595733	0.728392	0.698026	0.674051	0.698026	0.676518	
700.000000	0.589089	0.722481	0.645521	0.652364	0.645521	0.676518	
710.000000	0.546611	0.554629	0.566666	0.555969	0.554629	0.676518	
720.000000	0.576861	0.713378	0.707253	0.665831	0.707253	0.676518	
730.000000	0.593805	0.706536	0.698352	0.666231	0.698352	0.676518	
740.000000	0.583869	0.701753	0.702810	0.662810	0.701753	0.676518	
750.000000	0.491696	0.706170	0.682233	0.626700	0.682233	0.676518	
760.000000	0.597479	0.726158	0.660789	0.661475	0.660789	0.676518	
770.000000	0.590501	0.723072	0.716161	0.676578	0.716161	0.676578	
780.000000	0.590618	0.708380	0.700302	0.666434	0.700302	0.676578	
790.000000	0.570439	0.739632	0.696793	0.668954	0.696793	0.676578	
800.000000	0.548805	0.687313	0.680251	0.638790	0.680251	0.676578	
810.000000	0.497788	0.706890	0.688316	0.630998	0.688316	0.676578	
820.000000	0.595222	0.721621	0.701536	0.672793	0.701536	0.676578	
830.000000	0.595863	0.721601	0.705539	0.674334	0.705539	0.676578	
840.000000	0.596085	0.721678	0.710078	0.675947	0.710078	0.676578	
850.000000	0.596646	0.732943	0.717436	0.682342	0.717436	0.682342	
860.000000	0.527407	0.732644	0.706701	0.655584	0.706701	0.682342	
870.000000	0.581101	0.695180	0.717259	0.664513	0.695180	0.682342	
880.000000	0.589700	0.697160	0.700955	0.662605	0.697160	0.682342	
890.000000	0.569625	0.699141	0.704716	0.657827	0.699141	0.682342	
900.000000	0.592347	0.720901	0.706207	0.673152	0.706207	0.682342	
910.000000	0.600131	0.722950	0.712728	0.678603	0.712728	0.682342	
920.000000	0.518247	0.731541	0.701548	0.650445	0.701548	0.682342	
930.000000	0.599870	0.738020	0.707756	0.681882	0.707756	0.682342	
940.000000	0.599584	0.735993	0.692824	0.676133	0.692824	0.682342	
950.000000	0.604135	0.735451	0.715646	0.685078	0.715646	0.685078	
960.000000	0.602566	0.738385	0.703690	0.681547	0.703690	0.685078	
970.000000	0.604574	0.745706	0.720414	0.690231	0.720414	0.690231	
980.000000	0.599970	0.739326	0.720562	0.686619	0.720562	0.690231	
990.000000	0.594857	0.728809	0.722179	0.681948	0.722179	0.690231	
1000.000000	0.598088	0.722727	0.712393	0.677736	0.712393	0.690231	
1010.000000	0.593660	0.738766	0.710166	0.680864	0.710166	0.690231	
1020.000000	0.581482	0.683187	0.707321	0.657330	0.683187	0.690231	
1030.000000	0.595385	0.717392	0.725654	0.679477	0.717392	0.690231	
1040.000000	0.603284	0.667708	0.707337	0.659443	0.667708	0.690231	
1050.000000	0.544260	0.697738	0.722241	0.654746	0.697738	0.690231	
1060.000000	0.510418	0.713700	0.713264	0.645794	0.713264	0.690231	
1070.000000	0.602123	0.699171	0.711690	0.670995	0.699171	0.690231	
1080.000000	0.591861	0.653256	0.692745	0.645954	0.653256	0.690231	
1090.000000	0.566477	0.731816	0.691549	0.663280	0.691549	0.690231	
1100.000000	0.596863	0.742790	0.726564	0.688739	0.726564	0.690231	
1110.000000	0.579917	0.694758	0.678989	0.651221	0.678989	0.690231	
1120.000000	0.592559	0.616652	0.710754	0.639988	0.616652	0.690231	
1130.000000	0.587590	0.728618	0.729795	0.682001	0.728618	0.690231	
1140.000000	0.596675	0.734370	0.730955	0.687333	0.730955	0.690231	
1150.000000	0.593848	0.719391	0.738748	0.683996	0.719391	0.690231	
1160.000000	0.570446	0.739716	0.727516	0.679226	0.727516	0.690231	
1170.000000	0.539618	0.734717	0.714431	0.662922	0.714431	0.690231	
1180.000000	0.596278	0.742659	0.731754	0.690230	0.731754	0.690231	
1190.000000	0.599987	0.749209	0.725756	0.691651	0.725756	0.691651	
1200.000000	0.606395	0.751382	0.726970	0.694916	0.726970	0.694916	
1210.000000	0.607710	0.691585	0.715174	0.671490	0.691585	0.694916	
1220.000000	0.602184	0.699744	0.713109	0.671679	0.699744	0.694916	
1230.000000	0.607222	0.744892	0.723697	0.691937	0.723697	0.694916	
1240.000000	0.554567	0.743761	0.705218	0.667848	0.705218	0.694916	
1250.000000	0.589900	0.731916	0.722032	0.681282	0.722032	0.694916	
1260.000000	0.601683	0.713906	0.714125	0.676572	0.713906	0.694916	
1270.000000	0.586969	0.714410	0.710422	0.670600	0.710422	0.694916	
1280.000000	0.603312	0.732583	0.726261	0.687385	0.726261	0.694916	
1290.000000	0.593884	0.746212	0.735179	0.691758	0.735179	0.694916	
