Epoch	AUC-454	AUC-455	AUC-456	AUC-457	AUC-458	AUC-459	AUC-460	AUC-461	AUC-462	AUC-463	AUC-464	AUC-465	AUC-466	AUC-467	AUC-468	AUC-469	AUC-470	AUC-471	AUC-472	AUC-473	AUC-476	AUC-478	AUC-479	AUC-484	AUC-485	AUC-486	AUC-487	AUC-488	AUC-489	AUC-490	AUC-491	AUC-492	AUC-493	AUC-494	AUC-495	AUC-496	AUC-497	AUC-498	AUC-499	AUC-500	AUC-501	AUC-502	AUC-503	AUC-504	AUC-505	AUC-506	AUC-507	AUC-508	AUC-509	AUC-510	AUC-511	AUC-512	AUC-513	AUC-514	AUC-515	AUC-516	AUC-517	AUC-518	AUC-519	AUC-520	AUC-521	AUC-522	AUC-523	AUC-524	AUC-525	AUC-526	AUC-527	AUC-528	AUC-529	AUC-530	AUC-531	AUC-532	AUC-533	AUC-534	AUC-535	AUC-536	AUC-537	AUC-538	AUC-539	AUC-540	AUC-541	AUC-542	AUC-543	AUC-544	AUC-545	AUC-546	AUC-547	AUC-548	AUC-549	AUC-550	AUC-551	AUC-552	AUC-553	AUC-554	AUC-555	AUC-556	AUC-557	AUC-558	AUC-559	AUC-560	AUC-561	AUC-562	AUC-563	AUC-564	AUC-565	AUC-566	AUC-567	AUC-568	AUC-569	AUC-570	AUC-571	AUC-572	AUC-573	AUC-574	AUC-575	AUC-576	AUC-577	AUC-578	AUC-579	AUC-580	AUC-581	AUC-582	AUC-583	AUC-584	AUC-585	AUC-586	AUC-587	AUC-588	AUC-589	AUC-590	AUC-591	AUC-592	AUC-593	AUC-594	AUC-595	AUC-596	AUC-597	AUC-598	AUC-599	AUC-600	AUC-601	AUC-602	AUC-603	AUC-604	AUC-605	AUC-606	AUC-607	AUC-608	AUC-609	AUC-610	AUC-611	AUC-612	AUC-613	AUC-614	AUC-615	AUC-616	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.536091	0.501496	0.530852	0.607231	0.594116	0.609087	0.592822	0.553590	0.761779	0.542113	0.578343	0.573979	0.545947	0.632546	0.537969	0.611504	0.518815	0.520071	0.582671	0.595708	0.591335	0.586248	0.541791	0.540428	0.363685	0.606798	0.647153	0.401759	0.590617	0.573201	0.456017	0.631640	0.606263	0.498353	0.610727	0.350742	0.585920	0.602293	0.573952	0.589315	0.566944	0.517776	0.460852	0.739903	0.579968	0.599628	0.580747	0.618466	0.563384	0.736229	0.522986	0.511252	0.557123	0.600483	0.780319	0.734432	0.721642	0.825097	0.691489	0.824648	0.372189	0.636959	0.618772	0.646163	0.608745	0.479874	0.572957	0.604943	0.572691	0.593948	0.612846	0.669303	0.612228	0.530651	0.572713	0.558409	0.633337	0.581515	0.614397	0.531426	0.585392	0.742103	0.678778	0.607831	0.645053	0.608567	0.599324	0.541472	0.521790	0.443914	0.647124	0.606187	0.604414	0.585682	0.716618	0.412310	0.584455	0.619121	0.541763	0.549375	0.587361	0.608073	0.564396	0.492670	0.398882	0.546925	0.589798	0.517378	0.583527	0.589615	0.405118	0.576440	0.583043	0.574803	0.728835	0.705402	0.567991	0.568060	0.525472	0.575210	0.617127	0.600813	0.434672	0.576241	0.524505	0.499110	0.485094	0.484341	0.434197	0.613216	0.594984	0.515381	0.558690	0.570236	0.435418	0.618658	0.541576	0.595964	0.562303	0.602019	0.595679	0.606564	0.517737	0.500479	0.417166	0.572581	0.590903	0.481220	0.633919	0.458756	0.573022	0.571769	0.477486	0.553805	0.601869	0.530671	0.573787	0.580358	0.573787	
50.000000	0.500195	0.539736	0.531482	0.480202	0.423032	0.518919	0.588904	0.532893	0.720433	0.563300	0.399699	0.584763	0.523554	0.619593	0.491158	0.503087	0.286047	0.594145	0.571939	0.559978	0.428404	0.569193	0.635354	0.466837	0.605200	0.657008	0.590032	0.602463	0.572420	0.497562	0.634226	0.458915	0.570605	0.584366	0.686552	0.522625	0.544869	0.566229	0.422252	0.472168	0.567095	0.357721	0.800606	0.713623	0.626098	0.656784	0.626747	0.609556	0.379620	0.364582	0.623667	0.448491	0.609196	0.663089	0.721329	0.706557	0.774815	0.768774	0.643279	0.716731	0.471752	0.639280	0.437865	0.609576	0.560063	0.654344	0.623361	0.490370	0.535627	0.637496	0.728042	0.432476	0.370129	0.592969	0.456910	0.546468	0.610525	0.596944	0.594962	0.593414	0.610527	0.664797	0.621355	0.610807	0.516554	0.565400	0.482469	0.547680	0.582904	0.608377	0.371109	0.556768	0.544380	0.512529	0.644095	0.711596	0.554136	0.657495	0.544682	0.529819	0.517445	0.650532	0.570514	0.664659	0.725411	0.597489	0.496728	0.535709	0.630660	0.635755	0.512781	0.596981	0.572356	0.643444	0.527313	0.556683	0.547399	0.529935	0.599316	0.594905	0.558640	0.637705	0.538827	0.604702	0.599616	0.513230	0.588459	0.540462	0.594584	0.597442	0.598926	0.490309	0.592139	0.613289	0.489403	0.577108	0.568437	0.643799	0.557473	0.598995	0.521185	0.422365	0.464368	0.548669	0.507153	0.582315	0.561475	0.555719	0.536363	0.546830	0.530023	0.545892	0.633921	0.552029	0.508330	0.601488	0.566964	0.569853	0.573787	
100.000000	0.548021	0.462042	0.612596	0.647688	0.649837	0.690325	0.556932	0.637984	0.831971	0.619336	0.658154	0.509692	0.561224	0.634896	0.554003	0.447222	0.689977	0.415281	0.532849	0.630769	0.541820	0.483700	0.598881	0.469626	0.693592	0.648678	0.708645	0.669753	0.703452	0.561151	0.703048	0.641478	0.627165	0.634247	0.666082	0.590195	0.658859	0.621191	0.556677	0.595483	0.608380	0.421382	0.572613	0.727329	0.716868	0.653023	0.621891	0.655047	0.603333	0.746404	0.655797	0.585497	0.658098	0.637763	0.814589	0.544423	0.831239	0.876736	0.744666	0.897164	0.535306	0.641467	0.649835	0.641723	0.635017	0.627998	0.659625	0.375217	0.506857	0.599593	0.649612	0.714597	0.628425	0.483439	0.490771	0.548767	0.649510	0.422256	0.654349	0.515258	0.622746	0.737750	0.724340	0.628431	0.641290	0.637045	0.606358	0.562108	0.537927	0.575262	0.745849	0.384291	0.675473	0.622397	0.743374	0.549427	0.444071	0.626507	0.517089	0.355438	0.626333	0.600532	0.602175	0.608362	0.572723	0.589002	0.618254	0.391500	0.360085	0.582940	0.524892	0.668026	0.517314	0.439274	0.774446	0.762587	0.601391	0.604080	0.639552	0.674213	0.661336	0.633530	0.444727	0.379499	0.582446	0.485848	0.602562	0.602663	0.594382	0.633394	0.628076	0.658643	0.630946	0.631472	0.516810	0.645726	0.656054	0.591664	0.584559	0.630659	0.619948	0.635325	0.533790	0.510796	0.599031	0.484386	0.440145	0.506211	0.520175	0.668193	0.632003	0.602381	0.509794	0.555043	0.494286	0.454879	0.600786	0.618795	0.600786	
150.000000	0.527889	0.528418	0.610060	0.676463	0.576163	0.697532	0.595349	0.579990	0.467788	0.561311	0.578832	0.489704	0.505013	0.544162	0.508119	0.553832	0.690310	0.621424	0.448822	0.476923	0.566577	0.546200	0.601399	0.522025	0.638520	0.669440	0.621552	0.447437	0.555213	0.630610	0.528270	0.564544	0.583385	0.502150	0.643641	0.562553	0.537687	0.472581	0.462328	0.526522	0.602617	0.416216	0.708558	0.702132	0.695913	0.699671	0.584345	0.653954	0.590757	0.709318	0.544183	0.636951	0.642714	0.531346	0.852451	0.778100	0.845706	0.860058	0.828700	0.911028	0.540336	0.687613	0.601894	0.504859	0.600904	0.581380	0.575460	0.534380	0.493339	0.599459	0.475726	0.711053	0.517683	0.567088	0.513905	0.632514	0.548237	0.617002	0.608748	0.534076	0.649435	0.675696	0.698255	0.633731	0.478177	0.585531	0.504096	0.577377	0.526323	0.620002	0.719618	0.621774	0.628696	0.660531	0.728499	0.615846	0.571134	0.614684	0.538592	0.377329	0.597863	0.574820	0.533169	0.615193	0.534963	0.551137	0.563863	0.539347	0.628946	0.638431	0.544283	0.616965	0.630557	0.592438	0.780978	0.660529	0.576247	0.589653	0.634463	0.568038	0.634789	0.662999	0.518958	0.606850	0.572220	0.502226	0.554339	0.606785	0.577795	0.625422	0.624235	0.550599	0.565867	0.578761	0.573999	0.573871	0.633529	0.624306	0.546113	0.609350	0.632454	0.540690	0.565316	0.576012	0.593855	0.618685	0.589973	0.559728	0.563789	0.553264	0.621712	0.559445	0.463870	0.522130	0.606945	0.553784	0.593096	0.580685	0.600786	
200.000000	0.445233	0.506872	0.572056	0.663182	0.593513	0.692832	0.537912	0.618636	0.799760	0.576531	0.613145	0.577604	0.578441	0.647909	0.528811	0.630477	0.671662	0.597694	0.593210	0.559197	0.558715	0.580851	0.651586	0.502772	0.680990	0.713920	0.713214	0.678108	0.720805	0.652749	0.592182	0.635206	0.627701	0.619445	0.664543	0.605455	0.629981	0.464495	0.619800	0.475809	0.600018	0.489747	0.553544	0.633810	0.660843	0.729481	0.615324	0.642402	0.602014	0.688486	0.626072	0.588162	0.710960	0.641539	0.764476	0.819670	0.802716	0.832268	0.672899	0.836941	0.608720	0.569330	0.659234	0.662181	0.626430	0.618145	0.657441	0.605518	0.555420	0.644525	0.717841	0.725771	0.664790	0.655664	0.588243	0.549327	0.674403	0.606541	0.623805	0.525894	0.668072	0.653488	0.639242	0.603405	0.634309	0.560945	0.537290	0.564966	0.559062	0.563851	0.555883	0.592204	0.666202	0.631396	0.707784	0.730464	0.588027	0.622199	0.552040	0.379481	0.649252	0.539935	0.584906	0.665222	0.757623	0.589833	0.615243	0.633223	0.663156	0.570698	0.545711	0.485483	0.523732	0.593737	0.736601	0.745981	0.574787	0.529072	0.629695	0.648176	0.628270	0.630578	0.613802	0.619615	0.504450	0.512247	0.623188	0.477280	0.603989	0.568879	0.636286	0.632919	0.628519	0.618482	0.665046	0.538750	0.531782	0.608684	0.608461	0.629550	0.622830	0.577930	0.538790	0.602383	0.633091	0.638189	0.487991	0.591917	0.461078	0.647236	0.628013	0.613082	0.486832	0.587786	0.648788	0.580808	0.615151	0.618559	0.615151	
250.000000	0.564211	0.569529	0.565707	0.601574	0.601408	0.612378	0.584924	0.641176	0.830769	0.595296	0.609040	0.516943	0.561774	0.517954	0.486341	0.560910	0.667000	0.668663	0.477390	0.655797	0.553195	0.622409	0.725093	0.440144	0.611226	0.637586	0.715754	0.660733	0.713738	0.674946	0.715136	0.644925	0.591405	0.654000	0.633051	0.613915	0.632959	0.644243	0.675903	0.621433	0.543151	0.420355	0.565558	0.513313	0.588653	0.678889	0.601607	0.649707	0.635824	0.526118	0.547194	0.493774	0.737411	0.654262	0.796203	0.774889	0.785353	0.829557	0.802123	0.817274	0.622896	0.623150	0.604391	0.645352	0.603865	0.590118	0.656707	0.659757	0.530791	0.651495	0.445548	0.712792	0.534642	0.570198	0.572038	0.585758	0.654222	0.537774	0.639983	0.633917	0.569018	0.528353	0.616085	0.632434	0.543745	0.621705	0.612860	0.605948	0.602352	0.605991	0.725754	0.632862	0.665534	0.653897	0.787900	0.691233	0.616092	0.647964	0.516354	0.364287	0.631437	0.636165	0.590685	0.630063	0.608206	0.565072	0.616038	0.641653	0.648615	0.574196	0.515804	0.678140	0.615651	0.599614	0.753022	0.731584	0.600595	0.579938	0.606434	0.634262	0.632501	0.637522	0.601844	0.620137	0.631420	0.516592	0.610080	0.593491	0.608234	0.638491	0.642203	0.611009	0.644583	0.634453	0.667034	0.629121	0.638217	0.593266	0.604671	0.654425	0.639532	0.631706	0.646368	0.577223	0.621489	0.677606	0.655833	0.605469	0.635774	0.694714	0.635154	0.643014	0.634428	0.567566	0.664693	0.612269	0.621518	0.622653	0.621518	
300.000000	0.499166	0.526922	0.513576	0.658510	0.610611	0.700666	0.583660	0.614404	0.665144	0.565894	0.632655	0.523497	0.602680	0.646945	0.512280	0.517994	0.507825	0.549568	0.568556	0.627202	0.556373	0.524072	0.652425	0.507158	0.735933	0.634740	0.692983	0.657529	0.691752	0.574892	0.711816	0.617282	0.669585	0.591604	0.655166	0.610348	0.687244	0.580967	0.663004	0.576555	0.601905	0.388557	0.732367	0.264822	0.475136	0.443411	0.671168	0.676542	0.655049	0.573076	0.662632	0.696314	0.451253	0.675323	0.747730	0.739267	0.736307	0.785232	0.590223	0.726439	0.565134	0.709935	0.633096	0.642832	0.644340	0.676765	0.676919	0.677798	0.508604	0.685919	0.694916	0.343613	0.540345	0.569576	0.602039	0.623829	0.541496	0.640967	0.670937	0.657941	0.708812	0.702136	0.695417	0.650338	0.674020	0.657777	0.618572	0.582609	0.567827	0.598728	0.726462	0.705220	0.687522	0.689889	0.656213	0.728630	0.637632	0.690378	0.545827	0.372717	0.636457	0.635537	0.619197	0.691458	0.739631	0.553142	0.568682	0.611578	0.641668	0.654753	0.530525	0.716533	0.625353	0.624373	0.733185	0.707265	0.635954	0.629948	0.691720	0.546978	0.677717	0.657493	0.631780	0.506764	0.613948	0.499235	0.644350	0.620487	0.612371	0.645740	0.671913	0.645949	0.649827	0.653853	0.681793	0.638592	0.585113	0.637210	0.613940	0.647998	0.565966	0.614286	0.679105	0.625785	0.651682	0.620461	0.569624	0.603272	0.656041	0.680370	0.656136	0.651832	0.545417	0.617155	0.676003	0.624895	0.622331	0.636833	0.622331	
350.000000	0.573087	0.583151	0.558316	0.636744	0.626653	0.692362	0.608745	0.647150	0.692548	0.577049	0.658154	0.549947	0.604564	0.607664	0.505405	0.511670	0.572761	0.584830	0.617962	0.629041	0.518735	0.627267	0.710728	0.475028	0.742906	0.633491	0.746528	0.651620	0.761865	0.672644	0.621885	0.667064	0.637508	0.665119	0.633645	0.600877	0.688779	0.623606	0.674072	0.582918	0.597230	0.377599	0.686711	0.700530	0.615345	0.661879	0.643948	0.691411	0.645801	0.550395	0.677071	0.712564	0.667214	0.683655	0.668498	0.681643	0.715931	0.745844	0.645059	0.765859	0.563174	0.723237	0.644257	0.680601	0.636874	0.692435	0.632006	0.675469	0.521135	0.625088	0.746527	0.690072	0.693397	0.644796	0.617805	0.631640	0.648581	0.666589	0.698894	0.662237	0.731672	0.461417	0.709020	0.672460	0.670952	0.665187	0.623434	0.607917	0.612792	0.622154	0.761417	0.639048	0.692654	0.708972	0.759018	0.750062	0.641971	0.702067	0.557140	0.406365	0.664346	0.658935	0.625441	0.686910	0.683187	0.566375	0.608693	0.582450	0.688175	0.687638	0.519581	0.710290	0.667754	0.628135	0.723329	0.754053	0.643442	0.656926	0.702788	0.613965	0.641192	0.670683	0.637671	0.625989	0.639675	0.517059	0.656359	0.599246	0.624667	0.630331	0.680892	0.626583	0.636280	0.669527	0.702630	0.630468	0.646321	0.680895	0.609574	0.659155	0.649071	0.610225	0.660684	0.619822	0.646186	0.662889	0.618972	0.592223	0.657840	0.674271	0.651665	0.653951	0.531293	0.536707	0.655595	0.619792	0.641651	0.645993	0.641651	
400.000000	0.533037	0.578301	0.592020	0.701426	0.684083	0.688758	0.629597	0.621132	0.741106	0.599533	0.666855	0.547111	0.619776	0.572659	0.561578	0.511670	0.711955	0.619760	0.596966	0.641249	0.625627	0.594560	0.644963	0.467793	0.646443	0.742769	0.638902	0.666242	0.727054	0.616900	0.728276	0.649507	0.673387	0.663390	0.677736	0.609416	0.690343	0.600658	0.668852	0.595016	0.586598	0.384035	0.642430	0.589774	0.679173	0.627471	0.579999	0.677550	0.639881	0.634436	0.637972	0.693875	0.581990	0.641511	0.593397	0.597276	0.488731	0.624268	0.598635	0.781838	0.583488	0.704942	0.651074	0.662185	0.639591	0.674691	0.692125	0.659710	0.534449	0.658583	0.685572	0.648465	0.682205	0.620642	0.651785	0.612264	0.661487	0.547074	0.678752	0.668011	0.663867	0.672108	0.700140	0.679215	0.706407	0.674580	0.644442	0.612398	0.595912	0.609500	0.638797	0.700066	0.522306	0.697004	0.718018	0.722238	0.648658	0.685682	0.560900	0.393037	0.528872	0.528389	0.638578	0.646719	0.629008	0.595508	0.637208	0.579207	0.672381	0.673735	0.549454	0.701749	0.649576	0.650731	0.705510	0.606135	0.641909	0.658804	0.694674	0.661277	0.625770	0.640498	0.584051	0.603943	0.486740	0.522753	0.604464	0.609671	0.587936	0.625068	0.668778	0.452994	0.594360	0.567675	0.687388	0.575466	0.658978	0.672060	0.655365	0.660724	0.672464	0.630675	0.599263	0.642119	0.630901	0.652089	0.642466	0.608584	0.644470	0.691474	0.635764	0.690947	0.551329	0.625301	0.663586	0.619117	0.630284	0.640190	0.641651	
450.000000	0.531830	0.563506	0.599898	0.627521	0.631934	0.699569	0.633451	0.632218	0.667789	0.603079	0.631337	0.583787	0.602848	0.638993	0.544708	0.506400	0.576424	0.420825	0.612640	0.648216	0.628638	0.610751	0.681437	0.447626	0.727229	0.692974	0.575899	0.643477	0.745943	0.694209	0.587666	0.665736	0.552747	0.630188	0.626017	0.622407	0.618677	0.614940	0.614625	0.613655	0.614244	0.350780	0.784077	0.622485	0.646485	0.626328	0.647345	0.575522	0.663128	0.645199	0.688294	0.724838	0.426593	0.666184	0.732793	0.358115	0.529218	0.805181	0.720333	0.788413	0.615907	0.728751	0.624095	0.661801	0.658700	0.678679	0.612082	0.713702	0.546430	0.682050	0.691789	0.682104	0.533049	0.670614	0.577658	0.618671	0.625546	0.638303	0.687393	0.707067	0.703761	0.507334	0.698993	0.692931	0.670567	0.681093	0.622376	0.583390	0.635124	0.641832	0.753463	0.658351	0.703939	0.723242	0.763692	0.758147	0.640146	0.714074	0.427218	0.402209	0.649801	0.616002	0.621131	0.660828	0.583044	0.467721	0.614795	0.663838	0.664630	0.731177	0.544745	0.709409	0.668438	0.633404	0.690665	0.697615	0.659742	0.619553	0.689374	0.646374	0.675548	0.695059	0.626463	0.531119	0.633403	0.542935	0.463425	0.624826	0.631401	0.665173	0.657093	0.649556	0.497382	0.588064	0.676454	0.610697	0.657442	0.686700	0.639444	0.666483	0.668773	0.636293	0.652789	0.628581	0.571019	0.672685	0.659121	0.621987	0.676884	0.692725	0.665687	0.671821	0.525739	0.615469	0.675938	0.621615	0.632126	0.639218	0.641651	
