Epoch	AUC-12	AUC-13	AUC-14	AUC-15	AUC-16	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.601947	0.655407	0.348233	0.426383	0.435254	0.493445	0.435254	0.493445	
10.000000	0.486149	0.307397	0.410254	0.601027	0.628995	0.486764	0.486149	0.493445	
20.000000	0.410722	0.323207	0.366865	0.633216	0.556670	0.458136	0.410722	0.493445	
30.000000	0.470653	0.367139	0.297468	0.598578	0.560167	0.458801	0.470653	0.493445	
40.000000	0.487763	0.362794	0.438066	0.606348	0.567955	0.492585	0.487763	0.493445	
50.000000	0.489742	0.359154	0.385365	0.598420	0.589585	0.484453	0.489742	0.493445	
60.000000	0.551345	0.423483	0.390874	0.626449	0.626225	0.523675	0.551345	0.523675	
70.000000	0.550395	0.420084	0.466504	0.638032	0.588501	0.532703	0.550395	0.532703	
80.000000	0.568877	0.449796	0.517287	0.644189	0.570862	0.550202	0.568877	0.550202	
90.000000	0.576378	0.479744	0.549743	0.641178	0.566227	0.562654	0.566227	0.562654	
100.000000	0.574819	0.497996	0.551746	0.641128	0.555134	0.564165	0.555134	0.564165	
110.000000	0.559214	0.502704	0.533063	0.590579	0.558132	0.548738	0.558132	0.564165	
120.000000	0.547231	0.523226	0.612881	0.638027	0.586324	0.581538	0.586324	0.581538	
130.000000	0.569776	0.536569	0.587939	0.683554	0.580768	0.591721	0.580768	0.591721	
140.000000	0.587287	0.555567	0.601989	0.672244	0.489189	0.581255	0.587287	0.591721	
150.000000	0.614734	0.547792	0.565842	0.654775	0.579338	0.592496	0.579338	0.592496	
160.000000	0.659215	0.578798	0.648224	0.650594	0.522383	0.611843	0.648224	0.611843	
170.000000	0.624605	0.574300	0.665518	0.650875	0.509535	0.604967	0.624605	0.611843	
180.000000	0.645695	0.592011	0.658832	0.642177	0.554024	0.618548	0.642177	0.618548	
190.000000	0.634272	0.628646	0.643305	0.652948	0.541465	0.620127	0.634272	0.620127	
200.000000	0.675201	0.623588	0.665281	0.654804	0.552104	0.634196	0.654804	0.634196	
210.000000	0.646813	0.619884	0.672256	0.659428	0.531647	0.626006	0.646813	0.634196	
220.000000	0.555633	0.614693	0.644469	0.663110	0.510305	0.597642	0.614693	0.634196	
230.000000	0.700048	0.691696	0.656477	0.686056	0.536238	0.654103	0.686056	0.654103	
240.000000	0.663642	0.611700	0.703674	0.664573	0.558655	0.640449	0.663642	0.654103	
250.000000	0.645314	0.639780	0.715783	0.691274	0.569488	0.652328	0.645314	0.654103	
260.000000	0.672374	0.628253	0.691588	0.700500	0.555007	0.649545	0.672374	0.654103	
270.000000	0.661715	0.582362	0.648954	0.663614	0.531887	0.617706	0.648954	0.654103	
280.000000	0.653977	0.573525	0.672692	0.686036	0.526657	0.622577	0.653977	0.654103	
290.000000	0.599509	0.555269	0.665520	0.688413	0.557272	0.613197	0.599509	0.654103	
300.000000	0.624971	0.573513	0.728180	0.685833	0.561266	0.634752	0.624971	0.654103	
310.000000	0.617427	0.556493	0.677951	0.699660	0.589266	0.628159	0.617427	0.654103	
320.000000	0.621679	0.605910	0.709464	0.624937	0.526671	0.617732	0.621679	0.654103	
330.000000	0.631963	0.538604	0.677370	0.694932	0.561437	0.620861	0.631963	0.654103	
340.000000	0.634614	0.554475	0.672274	0.644198	0.519181	0.604948	0.634614	0.654103	
350.000000	0.621792	0.597679	0.692115	0.692307	0.563047	0.633388	0.621792	0.654103	
360.000000	0.641760	0.626125	0.664929	0.663527	0.545385	0.628345	0.641760	0.654103	
