Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.491707	0.487891	0.504749	0.527184	0.519778	0.505911	0.506203	0.505330	0.506203	
10.000000	0.501664	0.521026	0.496227	0.509457	0.575592	0.501813	0.517630	0.505635	0.517630	
20.000000	0.537972	0.509751	0.515299	0.495347	0.501834	0.520433	0.513439	0.512525	0.517630	
30.000000	0.564004	0.527377	0.546425	0.579189	0.672502	0.560337	0.574972	0.562171	0.574972	
40.000000	0.564530	0.529478	0.556654	0.597720	0.670581	0.558372	0.579556	0.561451	0.579556	
50.000000	0.593505	0.531090	0.558549	0.586870	0.597606	0.558341	0.570993	0.572710	0.579556	
60.000000	0.593332	0.499377	0.495205	0.594639	0.685694	0.555410	0.570609	0.574371	0.579556	
70.000000	0.603045	0.559588	0.558813	0.592830	0.702597	0.565626	0.597083	0.579228	0.597083	
80.000000	0.622823	0.534663	0.561390	0.586460	0.728307	0.578305	0.601991	0.582382	0.601991	
90.000000	0.625194	0.524999	0.576436	0.589640	0.732242	0.582795	0.605218	0.586218	0.605218	
100.000000	0.638102	0.524869	0.588230	0.597540	0.735396	0.577657	0.610299	0.592885	0.610299	
110.000000	0.645051	0.541277	0.603442	0.596657	0.754812	0.593376	0.622436	0.600049	0.622436	
120.000000	0.654445	0.536634	0.604857	0.619924	0.752941	0.596387	0.627531	0.612391	0.627531	
130.000000	0.659445	0.546620	0.619653	0.622571	0.763641	0.601556	0.635581	0.621112	0.635581	
140.000000	0.654580	0.536901	0.613927	0.608349	0.735138	0.599976	0.624812	0.611138	0.635581	
150.000000	0.620338	0.547842	0.602230	0.623576	0.731886	0.591443	0.619552	0.611284	0.635581	
160.000000	0.613953	0.547525	0.599231	0.616667	0.727385	0.591368	0.616022	0.606592	0.635581	
170.000000	0.633272	0.554164	0.596866	0.611379	0.729338	0.595532	0.620092	0.604123	0.635581	
180.000000	0.643100	0.531372	0.603835	0.619413	0.727803	0.594480	0.620001	0.611624	0.635581	
190.000000	0.625320	0.550241	0.605131	0.607780	0.703050	0.592035	0.613926	0.606455	0.635581	
200.000000	0.646508	0.547594	0.604484	0.602692	0.714392	0.593719	0.618231	0.603588	0.635581	
210.000000	0.647255	0.561820	0.589123	0.598992	0.743492	0.601669	0.623725	0.600331	0.635581	
220.000000	0.666782	0.517158	0.591838	0.610454	0.733503	0.603085	0.620470	0.606770	0.635581	
230.000000	0.661883	0.534297	0.601607	0.619235	0.759298	0.603893	0.630036	0.611564	0.635581	
240.000000	0.654529	0.548514	0.602275	0.621405	0.757829	0.602511	0.631177	0.611958	0.635581	
250.000000	0.667158	0.548492	0.599488	0.617051	0.759200	0.613288	0.634113	0.615170	0.635581	
260.000000	0.670925	0.567863	0.599311	0.617341	0.757867	0.611604	0.637485	0.614472	0.637485	
270.000000	0.655487	0.560394	0.600675	0.628763	0.750267	0.615408	0.635166	0.622085	0.637485	
280.000000	0.649471	0.568992	0.598019	0.632127	0.743678	0.609588	0.633646	0.620858	0.637485	
290.000000	0.650125	0.574887	0.598235	0.638619	0.761855	0.613499	0.639537	0.626059	0.639537	
300.000000	0.642766	0.582000	0.604166	0.639348	0.748789	0.610982	0.638009	0.625165	0.639537	
310.000000	0.662365	0.546484	0.612397	0.643389	0.762849	0.621885	0.641561	0.632637	0.641561	
320.000000	0.659379	0.584231	0.605842	0.632550	0.746395	0.623826	0.642037	0.628188	0.642037	
330.000000	0.664585	0.588375	0.617844	0.638275	0.752004	0.632130	0.648869	0.635202	0.648869	
340.000000	0.662701	0.592621	0.615009	0.644252	0.760559	0.624605	0.649958	0.634429	0.649958	
350.000000	0.674675	0.582678	0.614051	0.639071	0.704509	0.627782	0.640461	0.633426	0.649958	
360.000000	0.664598	0.591344	0.605085	0.631467	0.746600	0.627412	0.644418	0.629439	0.649958	
370.000000	0.669777	0.584606	0.622967	0.630951	0.766082	0.622460	0.649474	0.626959	0.649958	
380.000000	0.667899	0.586466	0.622645	0.643600	0.769919	0.620455	0.651831	0.633122	0.651831	
390.000000	0.676179	0.586893	0.625397	0.647079	0.778166	0.628789	0.657084	0.637934	0.657084	
400.000000	0.685222	0.589404	0.623183	0.653822	0.779846	0.627674	0.659859	0.640748	0.659859	
410.000000	0.677220	0.595677	0.610411	0.647009	0.777522	0.617476	0.654219	0.632243	0.659859	
420.000000	0.673176	0.584302	0.617645	0.641795	0.786074	0.621850	0.654140	0.631823	0.659859	
430.000000	0.670272	0.589615	0.617601	0.639644	0.774304	0.632524	0.653993	0.636084	0.659859	
440.000000	0.675841	0.580540	0.617954	0.640051	0.773820	0.624112	0.652053	0.632081	0.659859	
450.000000	0.663647	0.568598	0.617467	0.637840	0.770007	0.623651	0.646868	0.630745	0.659859	
460.000000	0.684044	0.571831	0.614604	0.639818	0.771379	0.625639	0.651219	0.632728	0.659859	
470.000000	0.682268	0.588697	0.621212	0.649136	0.774033	0.636993	0.658723	0.643065	0.659859	
480.000000	0.681492	0.600946	0.621117	0.645685	0.759194	0.623009	0.655240	0.634347	0.659859	
490.000000	0.674055	0.592460	0.618408	0.658652	0.770655	0.625763	0.656666	0.642207	0.659859	
500.000000	0.689611	0.589255	0.628660	0.674633	0.794956	0.617262	0.665730	0.651647	0.665730	
510.000000	0.662473	0.592540	0.623340	0.672184	0.775417	0.626387	0.658724	0.644430	0.665730	
520.000000	0.689894	0.582021	0.634316	0.679114	0.797825	0.628485	0.668609	0.656715	0.668609	
530.000000	0.692859	0.587594	0.627816	0.674557	0.797416	0.632083	0.668721	0.653320	0.668721	
540.000000	0.696614	0.609420	0.625749	0.674363	0.785394	0.636755	0.671382	0.655559	0.671382	
550.000000	0.689905	0.609630	0.612563	0.666202	0.757967	0.628402	0.660778	0.647302	0.671382	
560.000000	0.690409	0.601677	0.626824	0.663155	0.788666	0.629306	0.666673	0.646230	0.671382	
570.000000	0.688265	0.614165	0.611689	0.653299	0.783325	0.625291	0.662672	0.639295	0.671382	
580.000000	0.691123	0.610876	0.621386	0.665559	0.765642	0.635459	0.665007	0.650509	0.671382	
590.000000	0.698037	0.618395	0.614071	0.668987	0.778462	0.628556	0.667751	0.648771	0.671382	
600.000000	0.697079	0.598342	0.630404	0.657051	0.792767	0.630194	0.667639	0.643727	0.671382	
610.000000	0.677922	0.610957	0.632542	0.668163	0.791578	0.630908	0.668678	0.650353	0.671382	
620.000000	0.704406	0.597041	0.631557	0.677853	0.783715	0.620335	0.669151	0.654705	0.671382	
630.000000	0.703083	0.605319	0.627136	0.673137	0.778550	0.631638	0.669811	0.652387	0.671382	
640.000000	0.707812	0.579827	0.630337	0.669669	0.799064	0.634696	0.670234	0.652182	0.671382	
650.000000	0.706971	0.609798	0.633103	0.672399	0.796026	0.626365	0.674110	0.652751	0.674110	
660.000000	0.705465	0.584333	0.607855	0.650914	0.796522	0.594312	0.656567	0.629385	0.674110	
670.000000	0.685275	0.615432	0.615218	0.675869	0.800489	0.636301	0.671431	0.656085	0.674110	
680.000000	0.692739	0.620701	0.636087	0.685300	0.778525	0.628997	0.673725	0.660694	0.674110	
690.000000	0.692448	0.617713	0.637684	0.679854	0.793654	0.631737	0.675515	0.658769	0.675515	
700.000000	0.692906	0.607045	0.638453	0.670412	0.792836	0.609224	0.668480	0.654433	0.675515	
710.000000	0.697357	0.599619	0.633645	0.682660	0.800923	0.637751	0.675326	0.660206	0.675515	
720.000000	0.699904	0.605037	0.631591	0.667634	0.795604	0.628402	0.671362	0.649612	0.675515	
730.000000	0.679745	0.612593	0.627732	0.674771	0.784212	0.631041	0.668349	0.652906	0.675515	
740.000000	0.669939	0.601027	0.638554	0.678411	0.802348	0.626929	0.669534	0.654246	0.675515	
750.000000	0.697107	0.591871	0.647442	0.677504	0.787187	0.643049	0.674027	0.662473	0.675515	
760.000000	0.692587	0.583633	0.643345	0.684851	0.781519	0.631722	0.669609	0.664098	0.675515	
770.000000	0.673871	0.583738	0.651712	0.666167	0.790590	0.634321	0.666733	0.658940	0.675515	
