Epoch	AUC-9	AUC-10	AUC-11	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.494842	0.539117	0.589177	0.541045	0.539117	0.541045	
10.000000	0.685232	0.684103	0.750619	0.706651	0.685232	0.706651	
20.000000	0.691715	0.725142	0.775541	0.730799	0.725142	0.730799	
30.000000	0.706360	0.740535	0.772234	0.739710	0.740535	0.739710	
40.000000	0.716824	0.761144	0.796225	0.758064	0.761144	0.758064	
50.000000	0.732269	0.791715	0.793580	0.772521	0.791715	0.772521	
60.000000	0.711345	0.773687	0.805669	0.763567	0.773687	0.772521	
70.000000	0.734926	0.761282	0.786847	0.761018	0.761282	0.772521	
80.000000	0.745700	0.802546	0.801539	0.783262	0.801539	0.783262	
90.000000	0.743044	0.810143	0.812487	0.788558	0.810143	0.788558	
100.000000	0.753567	0.814814	0.826819	0.798400	0.814814	0.798400	
110.000000	0.736749	0.815748	0.825768	0.792755	0.815748	0.798400	
120.000000	0.738589	0.808638	0.814618	0.787282	0.808638	0.798400	
130.000000	0.752089	0.829008	0.821346	0.800814	0.821346	0.800814	
140.000000	0.750477	0.829484	0.818544	0.799502	0.818544	0.800814	
150.000000	0.760390	0.832777	0.824763	0.805976	0.824763	0.805976	
160.000000	0.754248	0.837727	0.819934	0.803969	0.819934	0.805976	
170.000000	0.746665	0.834011	0.813841	0.798172	0.813841	0.805976	
180.000000	0.740118	0.800634	0.784256	0.775003	0.784256	0.805976	
190.000000	0.740885	0.822673	0.806669	0.790075	0.806669	0.805976	
200.000000	0.752574	0.831135	0.824944	0.802885	0.824944	0.805976	
210.000000	0.742514	0.832668	0.801551	0.792244	0.801551	0.805976	
220.000000	0.748950	0.819268	0.808636	0.792285	0.808636	0.805976	
230.000000	0.748107	0.820364	0.807048	0.791840	0.807048	0.805976	
240.000000	0.734054	0.803637	0.798363	0.778685	0.798363	0.805976	
250.000000	0.741769	0.809499	0.788291	0.779853	0.788291	0.805976	
260.000000	0.759081	0.821929	0.809270	0.796760	0.809270	0.805976	
270.000000	0.763693	0.834278	0.796667	0.798213	0.796667	0.805976	
280.000000	0.762985	0.834757	0.822511	0.806751	0.822511	0.806751	
290.000000	0.774905	0.824574	0.835673	0.811717	0.824574	0.811717	
300.000000	0.772161	0.830580	0.817576	0.806772	0.817576	0.811717	
310.000000	0.774530	0.829887	0.789335	0.797917	0.789335	0.811717	
320.000000	0.773446	0.829346	0.812270	0.805021	0.812270	0.811717	
330.000000	0.774181	0.819064	0.812201	0.801816	0.812201	0.811717	
340.000000	0.757527	0.805528	0.790273	0.784443	0.790273	0.811717	
350.000000	0.760892	0.824524	0.812129	0.799182	0.812129	0.811717	
360.000000	0.763889	0.822542	0.801158	0.795863	0.801158	0.811717	
370.000000	0.764164	0.818779	0.820936	0.801293	0.818779	0.811717	
380.000000	0.747971	0.806195	0.818762	0.790976	0.806195	0.811717	
390.000000	0.751808	0.811107	0.814957	0.792624	0.811107	0.811717	
400.000000	0.726223	0.834840	0.802816	0.787960	0.802816	0.811717	
410.000000	0.715334	0.838473	0.819222	0.791010	0.819222	0.811717	
420.000000	0.757690	0.821618	0.819069	0.799459	0.819069	0.811717	
430.000000	0.771864	0.786228	0.805935	0.788009	0.786228	0.811717	
440.000000	0.767266	0.828050	0.812327	0.802547	0.812327	0.811717	
450.000000	0.710043	0.827724	0.822592	0.786787	0.822592	0.811717	
460.000000	0.743282	0.838824	0.813491	0.798532	0.813491	0.811717	
470.000000	0.750481	0.810413	0.824648	0.795181	0.810413	0.811717	
480.000000	0.757479	0.843654	0.825861	0.808998	0.825861	0.811717	
490.000000	0.776797	0.848255	0.814592	0.813214	0.814592	0.813214	
500.000000	0.767162	0.843310	0.821011	0.810495	0.821011	0.813214	
510.000000	0.765469	0.836782	0.803306	0.801852	0.803306	0.813214	
520.000000	0.769091	0.838630	0.793899	0.800540	0.793899	0.813214	
530.000000	0.753596	0.825525	0.810722	0.796614	0.810722	0.813214	
540.000000	0.765930	0.823593	0.807676	0.799067	0.807676	0.813214	
550.000000	0.734795	0.830370	0.787335	0.784167	0.787335	0.813214	
560.000000	0.760377	0.816779	0.811143	0.796100	0.811143	0.813214	
570.000000	0.747988	0.829805	0.803901	0.793898	0.803901	0.813214	
580.000000	0.740237	0.818745	0.799284	0.786089	0.799284	0.813214	
590.000000	0.744780	0.799804	0.802232	0.782272	0.799804	0.813214	
600.000000	0.727496	0.811412	0.807107	0.782005	0.807107	0.813214	
610.000000	0.747129	0.835156	0.806375	0.796220	0.806375	0.813214	
620.000000	0.756997	0.837936	0.819619	0.804850	0.819619	0.813214	
