Epoch	AUC-454	AUC-455	AUC-456	AUC-457	AUC-458	AUC-459	AUC-460	AUC-461	AUC-462	AUC-463	AUC-464	AUC-465	AUC-466	AUC-467	AUC-468	AUC-469	AUC-470	AUC-471	AUC-472	AUC-473	AUC-476	AUC-478	AUC-479	AUC-484	AUC-485	AUC-486	AUC-487	AUC-488	AUC-489	AUC-490	AUC-491	AUC-492	AUC-493	AUC-494	AUC-495	AUC-496	AUC-497	AUC-498	AUC-499	AUC-500	AUC-501	AUC-502	AUC-503	AUC-504	AUC-505	AUC-506	AUC-507	AUC-508	AUC-509	AUC-510	AUC-511	AUC-512	AUC-513	AUC-514	AUC-515	AUC-516	AUC-517	AUC-518	AUC-519	AUC-520	AUC-521	AUC-522	AUC-523	AUC-524	AUC-525	AUC-526	AUC-527	AUC-528	AUC-529	AUC-530	AUC-531	AUC-532	AUC-533	AUC-534	AUC-535	AUC-536	AUC-537	AUC-538	AUC-539	AUC-540	AUC-541	AUC-542	AUC-543	AUC-544	AUC-545	AUC-546	AUC-547	AUC-548	AUC-549	AUC-550	AUC-551	AUC-552	AUC-553	AUC-554	AUC-555	AUC-556	AUC-557	AUC-558	AUC-559	AUC-560	AUC-561	AUC-562	AUC-563	AUC-564	AUC-565	AUC-566	AUC-567	AUC-568	AUC-569	AUC-570	AUC-571	AUC-572	AUC-573	AUC-574	AUC-575	AUC-576	AUC-577	AUC-578	AUC-579	AUC-580	AUC-581	AUC-582	AUC-583	AUC-584	AUC-585	AUC-586	AUC-587	AUC-588	AUC-589	AUC-590	AUC-591	AUC-592	AUC-593	AUC-594	AUC-595	AUC-596	AUC-597	AUC-598	AUC-599	AUC-600	AUC-601	AUC-602	AUC-603	AUC-604	AUC-605	AUC-606	AUC-607	AUC-608	AUC-609	AUC-610	AUC-611	AUC-612	AUC-613	AUC-614	AUC-615	AUC-616	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.526203	0.550368	0.553176	0.522873	0.597486	0.513788	0.558006	0.537227	0.568510	0.407039	0.533145	0.650909	0.510572	0.551271	0.519833	0.515585	0.465534	0.595919	0.549955	0.505128	0.618852	0.597474	0.572295	0.507984	0.589362	0.598709	0.550329	0.562769	0.606873	0.468261	0.578620	0.540902	0.544340	0.534838	0.570574	0.571164	0.524369	0.545492	0.599864	0.514302	0.519770	0.499726	0.608184	0.407763	0.476925	0.442986	0.564429	0.544154	0.554656	0.449728	0.544155	0.568370	0.572274	0.601150	0.429439	0.484385	0.449739	0.580364	0.455910	0.605083	0.480416	0.584541	0.479021	0.577397	0.473373	0.576518	0.532455	0.568723	0.479632	0.562946	0.642941	0.472802	0.551721	0.588422	0.495111	0.572520	0.508469	0.477168	0.569492	0.595357	0.585942	0.410960	0.499922	0.576117	0.495116	0.587562	0.565971	0.491755	0.502015	0.611915	0.643857	0.624516	0.597812	0.630822	0.593986	0.571078	0.482631	0.577773	0.472870	0.534706	0.437863	0.541881	0.573536	0.537820	0.698987	0.430014	0.454062	0.484089	0.530397	0.613481	0.530210	0.547042	0.536360	0.496694	0.377506	0.609296	0.544431	0.599868	0.579856	0.504428	0.525787	0.561560	0.535185	0.509479	0.527359	0.511281	0.580845	0.496063	0.491139	0.530702	0.588020	0.495582	0.502386	0.561198	0.565798	0.515015	0.487488	0.508423	0.542309	0.531887	0.436841	0.526394	0.537237	0.497158	0.522540	0.479688	0.471169	0.498809	0.476710	0.457281	0.560466	0.455586	0.532920	0.508325	0.511375	0.522491	0.534139	0.535012	0.534139	
50.000000	0.585443	0.611731	0.541015	0.670192	0.629771	0.642930	0.617591	0.599405	0.577644	0.560879	0.659736	0.613211	0.571660	0.596457	0.641316	0.698840	0.705295	0.542582	0.593236	0.688071	0.649381	0.595639	0.713806	0.471005	0.730289	0.759843	0.680104	0.629300	0.655288	0.631160	0.666607	0.616558	0.689659	0.662730	0.732751	0.587741	0.729555	0.621109	0.824586	0.680168	0.674334	0.424379	0.880739	0.634313	0.692964	0.645518	0.816667	0.776976	0.787154	0.550377	0.806582	0.812670	0.618339	0.790958	0.594854	0.636547	0.633713	0.754956	0.602575	0.760111	0.656082	0.785333	0.617855	0.677885	0.740464	0.823673	0.780437	0.840405	0.520509	0.809451	0.869062	0.630580	0.759811	0.810897	0.743669	0.801203	0.727742	0.774554	0.795664	0.826930	0.831299	0.642544	0.763997	0.802999	0.749802	0.821328	0.820519	0.666962	0.755357	0.805692	0.788448	0.727131	0.794661	0.835297	0.729710	0.810653	0.766407	0.829636	0.567619	0.465474	0.669482	0.765415	0.765817	0.860174	0.884450	0.635698	0.690281	0.638751	0.784242	0.827429	0.519482	0.814593	0.793749	0.784723	0.612168	0.693498	0.803234	0.838347	0.814153	0.709899	0.776649	0.798580	0.726901	0.687116	0.727563	0.598299	0.725747	0.689131	0.728716	0.766574	0.772222	0.677976	0.741796	0.756082	0.786693	0.685948	0.746192	0.784979	0.624431	0.687504	0.621617	0.629266	0.642579	0.622950	0.638141	0.707155	0.638677	0.619086	0.656765	0.633183	0.647515	0.667478	0.632248	0.639510	0.659174	0.628139	0.700096	0.689970	0.700096	
100.000000	0.599751	0.668041	0.590239	0.710280	0.646668	0.684998	0.631682	0.646734	0.621875	0.596593	0.672090	0.635802	0.592356	0.644114	0.632745	0.664207	0.733267	0.556886	0.625035	0.694036	0.618434	0.574590	0.723228	0.481089	0.748386	0.765345	0.737280	0.696632	0.740944	0.673759	0.729761	0.669936	0.726189	0.707031	0.752500	0.611540	0.740847	0.640648	0.808605	0.708250	0.686730	0.448893	0.842446	0.633549	0.589502	0.714521	0.781317	0.782149	0.770780	0.564268	0.796893	0.823784	0.640548	0.788058	0.647287	0.641133	0.623853	0.748264	0.603083	0.766364	0.648587	0.797521	0.658204	0.713636	0.756998	0.781830	0.781620	0.821656	0.531549	0.791985	0.874248	0.657689	0.779188	0.808753	0.752467	0.793424	0.733420	0.763661	0.794479	0.821428	0.835680	0.579544	0.741160	0.791512	0.761704	0.787378	0.799047	0.687852	0.764275	0.781418	0.809692	0.713797	0.802102	0.832349	0.738720	0.797836	0.765257	0.812880	0.586047	0.404038	0.679375	0.758481	0.734219	0.797321	0.844986	0.652847	0.706136	0.652232	0.784657	0.808473	0.577796	0.813065	0.785534	0.775442	0.674416	0.731221	0.770529	0.806152	0.812351	0.693270	0.773940	0.795326	0.723717	0.680934	0.718876	0.601119	0.711724	0.670076	0.706886	0.741992	0.767097	0.652390	0.715640	0.744348	0.789207	0.658436	0.735777	0.787727	0.652562	0.713145	0.654060	0.660572	0.662474	0.661834	0.659048	0.719572	0.654904	0.627095	0.674028	0.666607	0.663836	0.709707	0.692475	0.666170	0.669378	0.638293	0.707243	0.713390	0.707243	
150.000000	0.552317	0.637804	0.600662	0.691097	0.646719	0.725029	0.662644	0.650086	0.618510	0.623314	0.685687	0.642170	0.593279	0.633751	0.655066	0.743864	0.698968	0.552340	0.645369	0.719398	0.622282	0.611615	0.719963	0.495387	0.782120	0.791890	0.692969	0.672814	0.670316	0.662333	0.682739	0.648663	0.719112	0.690931	0.754129	0.623581	0.747514	0.615489	0.813606	0.701244	0.683992	0.453736	0.824899	0.706039	0.740882	0.697785	0.800876	0.789577	0.778934	0.641640	0.809304	0.806237	0.582809	0.789880	0.622323	0.632963	0.625749	0.795201	0.603326	0.799530	0.643892	0.789129	0.645446	0.708233	0.750127	0.808073	0.783597	0.830111	0.517519	0.806661	0.861361	0.651835	0.767761	0.800600	0.756375	0.786380	0.738140	0.783517	0.804248	0.820577	0.824940	0.670497	0.779587	0.804439	0.776421	0.810268	0.816826	0.667557	0.752923	0.783149	0.772084	0.775617	0.788193	0.820144	0.716190	0.802948	0.759359	0.832712	0.580363	0.405771	0.673837	0.760857	0.752784	0.842230	0.854427	0.655967	0.707953	0.646594	0.795020	0.824566	0.575299	0.818098	0.781582	0.804872	0.642465	0.707819	0.798430	0.837296	0.804901	0.704816	0.782991	0.809268	0.727635	0.664414	0.723130	0.596213	0.725882	0.685098	0.713950	0.782992	0.767445	0.686646	0.739862	0.759640	0.802366	0.682249	0.746560	0.802002	0.667018	0.705303	0.646425	0.640564	0.651474	0.657788	0.665232	0.706400	0.645396	0.647321	0.674102	0.658206	0.675138	0.695552	0.668199	0.672270	0.683760	0.651270	0.712023	0.707886	0.712023	
200.000000	0.549086	0.628183	0.608893	0.699951	0.644757	0.684841	0.678504	0.644311	0.672115	0.643549	0.691864	0.638079	0.591992	0.676829	0.655970	0.765096	0.718282	0.575959	0.634290	0.754069	0.672131	0.615069	0.712034	0.501683	0.767279	0.781372	0.670028	0.642364	0.643349	0.629519	0.660212	0.630289	0.715868	0.692199	0.721054	0.625631	0.718380	0.610249	0.807703	0.682333	0.677796	0.451573	0.864699	0.666925	0.729613	0.676243	0.810499	0.758013	0.770822	0.651345	0.793151	0.792856	0.599798	0.771143	0.626815	0.630951	0.595244	0.792193	0.587726	0.797690	0.640260	0.813944	0.632936	0.698244	0.738727	0.759170	0.775607	0.830918	0.510137	0.792458	0.893098	0.630819	0.746710	0.804782	0.724189	0.805548	0.729142	0.785851	0.779987	0.793818	0.835123	0.622023	0.781574	0.811520	0.754653	0.816652	0.755563	0.652087	0.762569	0.812229	0.758572	0.792968	0.729315	0.832064	0.710383	0.765837	0.746965	0.808462	0.566924	0.453401	0.650442	0.787917	0.743375	0.842509	0.900045	0.620986	0.698743	0.643700	0.763359	0.801192	0.527457	0.809955	0.772020	0.782010	0.622916	0.716091	0.796166	0.832195	0.816349	0.657638	0.754952	0.814194	0.734443	0.660257	0.714439	0.589544	0.724198	0.648137	0.687768	0.772645	0.750371	0.629528	0.716705	0.747279	0.791449	0.643197	0.728121	0.799199	0.662496	0.692216	0.667543	0.685441	0.600421	0.625146	0.669255	0.707368	0.661599	0.656350	0.673342	0.677443	0.666587	0.690372	0.664676	0.661811	0.665526	0.655338	0.705321	0.699347	0.712023	
250.000000	0.580969	0.635985	0.619945	0.680275	0.646065	0.725421	0.674713	0.662928	0.652885	0.637323	0.695480	0.663227	0.598045	0.671948	0.651447	0.686342	0.689311	0.557552	0.639110	0.725808	0.620609	0.610643	0.731903	0.501666	0.777762	0.788714	0.706501	0.686534	0.702418	0.680750	0.711580	0.672827	0.740342	0.715782	0.747516	0.634207	0.739947	0.618590	0.828069	0.694885	0.686229	0.452891	0.844117	0.697568	0.732564	0.697371	0.819269	0.764805	0.787776	0.630025	0.809987	0.818607	0.616476	0.794672	0.647382	0.631888	0.599515	0.786936	0.594490	0.793051	0.657516	0.810696	0.654128	0.711518	0.764821	0.822487	0.791291	0.835985	0.531189	0.796303	0.870993	0.648310	0.771821	0.813624	0.763479	0.824947	0.748580	0.795774	0.801510	0.834204	0.847421	0.639076	0.772228	0.822321	0.782716	0.811726	0.835934	0.681525	0.778587	0.804519	0.802967	0.759429	0.809345	0.834683	0.705848	0.809739	0.757276	0.822025	0.581264	0.477569	0.667691	0.797518	0.769259	0.837263	0.886204	0.682385	0.709311	0.673944	0.786997	0.829301	0.585575	0.812963	0.786254	0.810225	0.654762	0.711629	0.806226	0.837325	0.815186	0.688996	0.761574	0.799259	0.736371	0.662652	0.732096	0.603264	0.731578	0.655603	0.717636	0.770275	0.777861	0.645003	0.725034	0.764833	0.809011	0.652541	0.739634	0.799392	0.677851	0.716527	0.657245	0.680518	0.689211	0.685144	0.690869	0.723062	0.644181	0.665350	0.670042	0.685822	0.694039	0.728833	0.669513	0.701335	0.694966	0.664229	0.719028	0.713706	0.719028	
300.000000	0.559879	0.621716	0.618232	0.660231	0.594418	0.699647	0.687855	0.643140	0.593510	0.624697	0.662637	0.637382	0.570131	0.638029	0.663704	0.731366	0.651349	0.510535	0.636896	0.696600	0.618602	0.605354	0.732743	0.496754	0.803855	0.806259	0.758126	0.709626	0.742934	0.694818	0.746835	0.682915	0.743680	0.718632	0.768742	0.645482	0.738967	0.613781	0.821109	0.709530	0.692410	0.436169	0.867140	0.704270	0.749004	0.678209	0.819108	0.791554	0.794748	0.636737	0.787480	0.809804	0.611343	0.790802	0.603417	0.616803	0.589520	0.753411	0.579398	0.717800	0.693714	0.823923	0.670905	0.730578	0.770435	0.821167	0.794911	0.831137	0.553239	0.794672	0.874701	0.661095	0.766227	0.813985	0.756806	0.810473	0.739772	0.778190	0.802121	0.834527	0.843211	0.655365	0.791598	0.818578	0.791830	0.820132	0.828275	0.690113	0.768711	0.768382	0.798015	0.714805	0.818660	0.839840	0.709789	0.814016	0.769495	0.833489	0.587622	0.512811	0.655210	0.771928	0.766094	0.839010	0.847867	0.671316	0.708838	0.655850	0.780372	0.829127	0.529771	0.807541	0.812458	0.813273	0.624353	0.708711	0.797854	0.833548	0.822760	0.680664	0.783160	0.796416	0.735484	0.676186	0.730621	0.600970	0.721512	0.674622	0.706552	0.767433	0.775713	0.637082	0.722004	0.717149	0.780948	0.668849	0.742669	0.793025	0.668835	0.732494	0.678414	0.699053	0.710421	0.686462	0.692362	0.727254	0.686261	0.673396	0.716251	0.673243	0.691659	0.744008	0.714870	0.699218	0.704792	0.682335	0.717663	0.717475	0.719028	
350.000000	0.564495	0.614358	0.616292	0.668962	0.617702	0.690325	0.695185	0.649244	0.512740	0.626946	0.665198	0.631897	0.594538	0.654898	0.648553	0.742509	0.690976	0.567753	0.627416	0.708640	0.630144	0.633528	0.730784	0.489276	0.790573	0.790949	0.749377	0.692004	0.720706	0.682914	0.732930	0.688090	0.736508	0.723794	0.761354	0.633557	0.746979	0.618963	0.827950	0.713870	0.695842	0.431368	0.897818	0.690693	0.733757	0.712864	0.821947	0.797095	0.787806	0.625971	0.810001	0.816224	0.643960	0.798124	0.633976	0.644401	0.614289	0.776318	0.621760	0.762548	0.695893	0.817384	0.656549	0.718127	0.762118	0.807854	0.790887	0.842107	0.538589	0.784085	0.895822	0.669401	0.789920	0.830444	0.762769	0.825917	0.751200	0.801931	0.813263	0.837523	0.851737	0.630586	0.798631	0.822232	0.774326	0.808026	0.835014	0.687895	0.779566	0.804267	0.804639	0.753033	0.813455	0.841947	0.717355	0.819235	0.768718	0.839365	0.590548	0.498807	0.677690	0.803015	0.762766	0.837429	0.899396	0.674468	0.722095	0.692532	0.782611	0.851884	0.530170	0.811689	0.804604	0.803078	0.660648	0.731459	0.798137	0.848118	0.828398	0.693424	0.778360	0.817085	0.742159	0.674160	0.728342	0.598338	0.734256	0.677688	0.721121	0.761421	0.776903	0.660798	0.732852	0.758608	0.811686	0.664174	0.746451	0.808280	0.683907	0.723414	0.668470	0.699769	0.682316	0.688858	0.690307	0.726171	0.672989	0.666314	0.702288	0.692010	0.700790	0.753401	0.690624	0.711525	0.696541	0.675119	0.722833	0.723604	0.722833	
400.000000	0.575750	0.642655	0.611891	0.678308	0.608247	0.704818	0.708897	0.637375	0.502163	0.667416	0.639736	0.647330	0.603473	0.621039	0.661827	0.745219	0.645688	0.488578	0.648314	0.727982	0.628973	0.588191	0.719776	0.484240	0.768084	0.762673	0.757595	0.686235	0.726638	0.692096	0.707892	0.682789	0.735094	0.703395	0.764273	0.637936	0.739792	0.619818	0.808717	0.680433	0.673556	0.424686	0.897994	0.651737	0.724721	0.683044	0.798538	0.775631	0.780312	0.604614	0.787782	0.794653	0.592497	0.769230	0.596374	0.615212	0.594470	0.749655	0.582398	0.752311	0.668943	0.801869	0.642989	0.715232	0.754875	0.812755	0.776060	0.848444	0.543643	0.783883	0.892599	0.665976	0.785342	0.805393	0.721166	0.799495	0.716158	0.802267	0.782911	0.818870	0.851032	0.650156	0.793404	0.800841	0.751389	0.787915	0.820020	0.680070	0.774777	0.790175	0.783592	0.746001	0.814642	0.846401	0.707861	0.808850	0.769001	0.823015	0.575078	0.493248	0.679041	0.799227	0.723833	0.850783	0.922144	0.669555	0.735392	0.685285	0.756997	0.845360	0.577631	0.794720	0.784576	0.780408	0.665180	0.726959	0.795981	0.835762	0.810553	0.635120	0.753215	0.810108	0.728971	0.634251	0.707343	0.596681	0.717580	0.655696	0.699313	0.755896	0.762977	0.642805	0.719901	0.749330	0.799724	0.644886	0.708211	0.800386	0.692825	0.719413	0.654684	0.694298	0.667316	0.678474	0.679025	0.720211	0.645468	0.656192	0.700879	0.688458	0.698230	0.716693	0.693700	0.701084	0.696567	0.671840	0.711886	0.715695	0.722833	
450.000000	0.564317	0.630568	0.613755	0.724791	0.634498	0.707716	0.683811	0.659044	0.513702	0.613456	0.659397	0.658021	0.597383	0.654958	0.638422	0.733775	0.638029	0.490463	0.641762	0.726254	0.629642	0.627375	0.721082	0.476373	0.781550	0.778079	0.753255	0.700275	0.747925	0.699593	0.728011	0.692299	0.741831	0.715279	0.741111	0.648353	0.735323	0.626573	0.821229	0.712220	0.690890	0.469221	0.907517	0.674166	0.727797	0.690712	0.803117	0.784391	0.788739	0.603403	0.796151	0.804703	0.640355	0.795990	0.613408	0.614918	0.612477	0.722854	0.639410	0.765853	0.716908	0.820005	0.658755	0.726180	0.766148	0.801505	0.787871	0.836033	0.547650	0.787091	0.892770	0.653218	0.770957	0.825177	0.757787	0.819092	0.744682	0.802394	0.796395	0.838665	0.848564	0.629281	0.790829	0.821139	0.774509	0.803728	0.833814	0.697060	0.784301	0.804361	0.805388	0.709497	0.814548	0.832538	0.689676	0.821811	0.774549	0.827010	0.579781	0.480128	0.641975	0.792516	0.746547	0.839469	0.919225	0.666168	0.726040	0.708722	0.770768	0.847401	0.581107	0.819538	0.795435	0.799162	0.628554	0.705899	0.790059	0.848703	0.823505	0.644988	0.769493	0.816523	0.737460	0.656680	0.734524	0.600157	0.732519	0.662834	0.714260	0.778607	0.768084	0.644983	0.738346	0.755671	0.802649	0.665967	0.708918	0.804328	0.701948	0.732157	0.668133	0.716095	0.683210	0.692066	0.704022	0.749547	0.665221	0.685410	0.688863	0.705840	0.714882	0.742386	0.684861	0.727511	0.705469	0.675110	0.719935	0.725415	0.722833	
