Epoch	AUC-12	AUC-13	AUC-14	AUC-15	AUC-16	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.631122	0.548685	0.574621	0.436599	0.564913	0.551188	0.564913	0.551188	
10.000000	0.502611	0.403274	0.630676	0.504898	0.613684	0.531028	0.504898	0.551188	
20.000000	0.525473	0.332355	0.439871	0.568066	0.633750	0.499903	0.525473	0.551188	
30.000000	0.521178	0.311994	0.442722	0.621338	0.640652	0.507577	0.521178	0.551188	
40.000000	0.510357	0.312370	0.500315	0.587385	0.642968	0.510679	0.510357	0.551188	
50.000000	0.479474	0.267331	0.409213	0.580030	0.658007	0.478811	0.479474	0.551188	
60.000000	0.464572	0.332683	0.463311	0.592050	0.640667	0.498657	0.464572	0.551188	
70.000000	0.440474	0.300716	0.467368	0.575144	0.662112	0.489163	0.467368	0.551188	
80.000000	0.458890	0.302220	0.438208	0.610507	0.641642	0.490293	0.458890	0.551188	
90.000000	0.452625	0.272480	0.417223	0.596352	0.639255	0.475587	0.452625	0.551188	
100.000000	0.439768	0.275272	0.456667	0.581614	0.645044	0.479673	0.456667	0.551188	
110.000000	0.517112	0.331915	0.506607	0.606937	0.620731	0.516661	0.517112	0.551188	
120.000000	0.503098	0.340298	0.468565	0.615362	0.615131	0.508491	0.503098	0.551188	
130.000000	0.475888	0.339761	0.483428	0.598820	0.619358	0.503451	0.483428	0.551188	
140.000000	0.484069	0.333257	0.466697	0.596931	0.633809	0.502952	0.484069	0.551188	
150.000000	0.548503	0.369658	0.503422	0.590617	0.633136	0.529067	0.548503	0.551188	
160.000000	0.507897	0.346770	0.493669	0.612622	0.635735	0.519339	0.507897	0.551188	
170.000000	0.520846	0.352377	0.482354	0.636106	0.614086	0.521154	0.520846	0.551188	
180.000000	0.525771	0.360284	0.493695	0.616861	0.602860	0.519894	0.525771	0.551188	
190.000000	0.473554	0.335472	0.448763	0.609350	0.606870	0.494802	0.473554	0.551188	
200.000000	0.474428	0.391121	0.467141	0.624890	0.588515	0.509219	0.474428	0.551188	
210.000000	0.482959	0.351708	0.468216	0.652826	0.589907	0.509123	0.482959	0.551188	
220.000000	0.469932	0.411471	0.487215	0.637421	0.625891	0.526386	0.487215	0.551188	
230.000000	0.460110	0.392972	0.487310	0.673034	0.575398	0.517765	0.487310	0.551188	
240.000000	0.519871	0.383271	0.492069	0.658135	0.581088	0.526887	0.519871	0.551188	
250.000000	0.577876	0.417563	0.528892	0.669803	0.599924	0.558812	0.577876	0.558812	
260.000000	0.535689	0.407599	0.511123	0.690620	0.588937	0.546793	0.535689	0.558812	
270.000000	0.530515	0.418958	0.553678	0.680950	0.572229	0.551266	0.553678	0.558812	
280.000000	0.502740	0.374744	0.476399	0.686163	0.597071	0.527423	0.502740	0.558812	
290.000000	0.494591	0.392878	0.502687	0.661167	0.581160	0.526497	0.502687	0.558812	
300.000000	0.514400	0.391499	0.476922	0.668550	0.617181	0.533710	0.514400	0.558812	
310.000000	0.525319	0.405614	0.494919	0.686512	0.589787	0.540430	0.525319	0.558812	
320.000000	0.494923	0.391527	0.513115	0.648043	0.593580	0.528238	0.513115	0.558812	
330.000000	0.554999	0.387193	0.474210	0.648605	0.567781	0.526558	0.554999	0.558812	
340.000000	0.578507	0.379744	0.512541	0.636797	0.588766	0.539271	0.578507	0.558812	
350.000000	0.619566	0.372021	0.500907	0.665493	0.607644	0.553127	0.607644	0.558812	
360.000000	0.605764	0.381837	0.513427	0.667022	0.576600	0.548930	0.576600	0.558812	
370.000000	0.575834	0.396984	0.526411	0.626746	0.615616	0.548318	0.575834	0.558812	
380.000000	0.583870	0.363220	0.475962	0.651665	0.597159	0.534375	0.583870	0.558812	
390.000000	0.608886	0.409295	0.573053	0.649782	0.583721	0.564947	0.583721	0.564947	
400.000000	0.556370	0.388316	0.518747	0.635554	0.588892	0.537576	0.556370	0.564947	
410.000000	0.609004	0.463121	0.529808	0.640030	0.595310	0.567455	0.595310	0.567455	
420.000000	0.619554	0.481253	0.585371	0.663659	0.575872	0.585142	0.585371	0.585142	
430.000000	0.641121	0.478573	0.575520	0.617813	0.573717	0.577349	0.575520	0.585142	
