Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.462027	0.478283	0.503435	0.475196	0.422612	0.480897	0.470408	0.476739	0.470408	
10.000000	0.527114	0.487355	0.539508	0.504224	0.547765	0.487126	0.515515	0.515669	0.515515	
20.000000	0.545556	0.497018	0.550576	0.546028	0.630921	0.529149	0.549875	0.545792	0.549875	
30.000000	0.562294	0.521906	0.563528	0.557674	0.657210	0.543807	0.567737	0.559984	0.567737	
40.000000	0.592408	0.516625	0.576377	0.584610	0.687751	0.545013	0.583797	0.580494	0.583797	
50.000000	0.609936	0.540310	0.585923	0.602562	0.733163	0.554685	0.604430	0.594242	0.604430	
60.000000	0.607899	0.549069	0.587506	0.601787	0.738969	0.560408	0.607606	0.594646	0.607606	
70.000000	0.605503	0.549490	0.590458	0.587378	0.738164	0.562424	0.605570	0.588918	0.607606	
80.000000	0.615133	0.547383	0.603269	0.610585	0.734037	0.572568	0.613829	0.606927	0.613829	
90.000000	0.626607	0.541221	0.595198	0.609015	0.737950	0.567478	0.612912	0.602107	0.613829	
100.000000	0.621558	0.545728	0.606062	0.616665	0.745669	0.574407	0.618348	0.611363	0.618348	
110.000000	0.641585	0.532425	0.602167	0.614542	0.754048	0.586149	0.621819	0.608354	0.621819	
120.000000	0.629542	0.535339	0.609898	0.626235	0.761767	0.585117	0.624650	0.618066	0.624650	
130.000000	0.643497	0.548895	0.608382	0.626602	0.765082	0.592829	0.630881	0.617492	0.630881	
140.000000	0.647825	0.550730	0.616455	0.630273	0.764837	0.592132	0.633709	0.623364	0.633709	
150.000000	0.644545	0.564714	0.611229	0.623602	0.769234	0.592266	0.634265	0.617415	0.634265	
160.000000	0.641545	0.556433	0.612351	0.629741	0.769290	0.595035	0.634066	0.621046	0.634265	
170.000000	0.649978	0.554821	0.619807	0.640174	0.764050	0.595437	0.637378	0.629991	0.637378	
180.000000	0.651527	0.552292	0.617818	0.634497	0.775984	0.602404	0.639087	0.626158	0.639087	
190.000000	0.656170	0.573101	0.619890	0.638802	0.773071	0.603466	0.644083	0.629346	0.644083	
