Epoch	AUC-9	AUC-10	AUC-11	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.438995	0.417672	0.442011	0.432893	0.438995	0.432893	
10.000000	0.562971	0.614140	0.652384	0.609832	0.614140	0.609832	
20.000000	0.657953	0.711103	0.759955	0.709670	0.711103	0.709670	
30.000000	0.664041	0.712462	0.774169	0.716891	0.712462	0.716891	
40.000000	0.661756	0.721881	0.789101	0.724246	0.721881	0.724246	
50.000000	0.678072	0.758827	0.799038	0.745312	0.758827	0.745312	
60.000000	0.681906	0.759365	0.799979	0.747083	0.759365	0.747083	
70.000000	0.708032	0.766875	0.803927	0.759611	0.766875	0.759611	
80.000000	0.712896	0.782167	0.810680	0.768581	0.782167	0.768581	
90.000000	0.723315	0.794139	0.821545	0.779666	0.794139	0.779666	
100.000000	0.724685	0.807833	0.819788	0.784102	0.807833	0.784102	
110.000000	0.722451	0.816483	0.823586	0.787507	0.816483	0.787507	
120.000000	0.728227	0.809698	0.821511	0.786479	0.809698	0.787507	
130.000000	0.734021	0.822401	0.824029	0.793484	0.822401	0.793484	
140.000000	0.732516	0.823754	0.822100	0.792790	0.822100	0.793484	
150.000000	0.736873	0.824713	0.822394	0.794660	0.822394	0.794660	
160.000000	0.743848	0.830344	0.822416	0.798869	0.822416	0.798869	
170.000000	0.739962	0.835235	0.811128	0.795441	0.811128	0.798869	
180.000000	0.749300	0.830686	0.812121	0.797369	0.812121	0.798869	
190.000000	0.746716	0.831672	0.815013	0.797800	0.815013	0.798869	
200.000000	0.746438	0.838967	0.821128	0.802178	0.821128	0.802178	
210.000000	0.744261	0.835724	0.816392	0.798792	0.816392	0.802178	
220.000000	0.744652	0.834717	0.816200	0.798523	0.816200	0.802178	
230.000000	0.744048	0.829329	0.815070	0.796149	0.815070	0.802178	
240.000000	0.742073	0.836573	0.812708	0.797118	0.812708	0.802178	
250.000000	0.747390	0.827296	0.812316	0.795667	0.812316	0.802178	
260.000000	0.753558	0.834736	0.816618	0.801637	0.816618	0.802178	
270.000000	0.760265	0.835683	0.818108	0.804685	0.818108	0.804685	
280.000000	0.748010	0.829334	0.815957	0.797767	0.815957	0.804685	
290.000000	0.761963	0.835038	0.824700	0.807234	0.824700	0.807234	
300.000000	0.764798	0.837437	0.823446	0.808560	0.823446	0.808560	
310.000000	0.769670	0.842541	0.822355	0.811522	0.822355	0.811522	
320.000000	0.773138	0.844539	0.823634	0.813770	0.823634	0.813770	
330.000000	0.772910	0.835862	0.821083	0.809952	0.821083	0.813770	
340.000000	0.770806	0.838036	0.821372	0.810071	0.821372	0.813770	
