Epoch	AUC-454	AUC-455	AUC-456	AUC-457	AUC-458	AUC-459	AUC-460	AUC-461	AUC-462	AUC-463	AUC-464	AUC-465	AUC-466	AUC-467	AUC-468	AUC-469	AUC-470	AUC-471	AUC-472	AUC-473	AUC-476	AUC-478	AUC-479	AUC-484	AUC-485	AUC-486	AUC-487	AUC-488	AUC-489	AUC-490	AUC-491	AUC-492	AUC-493	AUC-494	AUC-495	AUC-496	AUC-497	AUC-498	AUC-499	AUC-500	AUC-501	AUC-502	AUC-503	AUC-504	AUC-505	AUC-506	AUC-507	AUC-508	AUC-509	AUC-510	AUC-511	AUC-512	AUC-513	AUC-514	AUC-515	AUC-516	AUC-517	AUC-518	AUC-519	AUC-520	AUC-521	AUC-522	AUC-523	AUC-524	AUC-525	AUC-526	AUC-527	AUC-528	AUC-529	AUC-530	AUC-531	AUC-532	AUC-533	AUC-534	AUC-535	AUC-536	AUC-537	AUC-538	AUC-539	AUC-540	AUC-541	AUC-542	AUC-543	AUC-544	AUC-545	AUC-546	AUC-547	AUC-548	AUC-549	AUC-550	AUC-551	AUC-552	AUC-553	AUC-554	AUC-555	AUC-556	AUC-557	AUC-558	AUC-559	AUC-560	AUC-561	AUC-562	AUC-563	AUC-564	AUC-565	AUC-566	AUC-567	AUC-568	AUC-569	AUC-570	AUC-571	AUC-572	AUC-573	AUC-574	AUC-575	AUC-576	AUC-577	AUC-578	AUC-579	AUC-580	AUC-581	AUC-582	AUC-583	AUC-584	AUC-585	AUC-586	AUC-587	AUC-588	AUC-589	AUC-590	AUC-591	AUC-592	AUC-593	AUC-594	AUC-595	AUC-596	AUC-597	AUC-598	AUC-599	AUC-600	AUC-601	AUC-602	AUC-603	AUC-604	AUC-605	AUC-606	AUC-607	AUC-608	AUC-609	AUC-610	AUC-611	AUC-612	AUC-613	AUC-614	AUC-615	AUC-616	AUC-Avg	AUC-Mid	AUC-Best	
1.000000	0.590165	0.648072	0.493814	0.584850	0.520493	0.538504	0.466953	0.539733	0.439904	0.515479	0.519096	0.551666	0.517884	0.524099	0.584916	0.493299	0.499833	0.493014	0.506252	0.556856	0.500502	0.430484	0.513060	0.575441	0.544065	0.536901	0.613954	0.504688	0.573196	0.534007	0.542174	0.554962	0.471278	0.547621	0.606185	0.507755	0.512195	0.528488	0.644535	0.572253	0.592478	0.429404	0.772568	0.561348	0.548179	0.655414	0.623872	0.595940	0.530457	0.483387	0.475195	0.600387	0.541663	0.593264	0.711292	0.689997	0.689331	0.602790	0.729180	0.580684	0.558918	0.632443	0.552677	0.574977	0.661649	0.644983	0.566477	0.620470	0.528420	0.528887	0.652106	0.671589	0.604656	0.593744	0.578497	0.595495	0.660321	0.670148	0.620694	0.568911	0.597127	0.596165	0.573436	0.568073	0.572379	0.591423	0.546891	0.608302	0.643559	0.532504	0.638736	0.558901	0.673348	0.503775	0.595369	0.602626	0.572839	0.616707	0.567760	0.497066	0.649118	0.614427	0.550920	0.650722	0.728424	0.593663	0.543881	0.668418	0.650626	0.512295	0.583103	0.639055	0.548204	0.502779	0.624365	0.690030	0.543212	0.618882	0.512964	0.650053	0.586453	0.562384	0.572134	0.617618	0.612069	0.479082	0.550243	0.576077	0.636992	0.573219	0.573085	0.619193	0.585513	0.532428	0.555812	0.599260	0.573296	0.532328	0.566714	0.580137	0.602403	0.583737	0.521737	0.546233	0.603082	0.576533	0.546488	0.519911	0.545950	0.611109	0.572857	0.538671	0.526306	0.554963	0.607726	0.535178	0.575004	0.572971	0.575004	
50.000000	0.597621	0.615531	0.544702	0.672036	0.612170	0.621387	0.593959	0.612692	0.656731	0.591750	0.689153	0.626830	0.602690	0.592722	0.631072	0.657130	0.730603	0.582502	0.599672	0.684783	0.607561	0.549331	0.678265	0.490173	0.735986	0.766728	0.684131	0.637061	0.647479	0.623574	0.648476	0.605648	0.666359	0.658088	0.725314	0.593047	0.725898	0.610711	0.794159	0.703440	0.682867	0.392975	0.822573	0.701812	0.722177	0.707342	0.791760	0.779941	0.762201	0.608635	0.793682	0.798150	0.624337	0.778307	0.695387	0.718520	0.738962	0.816453	0.700700	0.828011	0.703662	0.772070	0.638220	0.685948	0.753089	0.805074	0.782002	0.808027	0.539032	0.800787	0.815312	0.726424	0.758903	0.770227	0.754880	0.778599	0.772537	0.777328	0.793457	0.796411	0.803414	0.733699	0.774708	0.788259	0.769481	0.804775	0.779178	0.673501	0.739671	0.750388	0.784328	0.733044	0.788996	0.798900	0.755162	0.788076	0.731339	0.806685	0.596213	0.477657	0.706544	0.766537	0.749343	0.831257	0.828996	0.666887	0.696443	0.680852	0.796584	0.776086	0.567003	0.800465	0.764727	0.800415	0.738012	0.768790	0.789012	0.803645	0.795594	0.751023	0.785513	0.769216	0.701048	0.702517	0.728817	0.572405	0.716017	0.701132	0.727840	0.757697	0.755715	0.711216	0.745019	0.741413	0.776305	0.712521	0.754530	0.760898	0.630047	0.678853	0.616240	0.616032	0.623737	0.625639	0.659862	0.700432	0.635556	0.620374	0.639390	0.658676	0.659716	0.649424	0.612063	0.631275	0.679777	0.612435	0.703776	0.714269	0.703776	
100.000000	0.593787	0.642049	0.585234	0.694171	0.612623	0.635723	0.590168	0.629002	0.613942	0.592356	0.686102	0.619207	0.589362	0.599470	0.623903	0.642223	0.728938	0.533710	0.615281	0.680379	0.606892	0.553541	0.686567	0.493316	0.740432	0.769657	0.710654	0.666382	0.695760	0.654235	0.699992	0.649868	0.699855	0.686808	0.727866	0.597096	0.712382	0.601431	0.816287	0.706531	0.687412	0.437247	0.861592	0.683935	0.713014	0.729611	0.804989	0.784287	0.783990	0.592796	0.799153	0.808158	0.613555	0.786323	0.683929	0.695336	0.694429	0.782675	0.660112	0.803846	0.696275	0.788773	0.656424	0.708023	0.763078	0.815147	0.781888	0.822826	0.542470	0.798186	0.856080	0.706812	0.782495	0.809210	0.769236	0.809637	0.775183	0.790134	0.798149	0.821360	0.824726	0.642818	0.765141	0.802078	0.772951	0.822172	0.815063	0.698355	0.769096	0.783849	0.789617	0.705856	0.794995	0.833990	0.738488	0.805266	0.756148	0.821068	0.608036	0.461156	0.696243	0.774453	0.769593	0.839906	0.856897	0.678493	0.714991	0.659706	0.799154	0.809814	0.582353	0.803913	0.782443	0.809574	0.710986	0.772366	0.802803	0.823415	0.813397	0.747010	0.793995	0.797914	0.727506	0.701905	0.741273	0.597410	0.720740	0.710912	0.737312	0.770419	0.766397	0.694629	0.747317	0.750825	0.789890	0.704729	0.758002	0.786155	0.653509	0.713476	0.645650	0.657059	0.655895	0.654726	0.673364	0.730096	0.680614	0.625399	0.674473	0.674047	0.667447	0.700994	0.670797	0.666691	0.683486	0.630165	0.713427	0.710949	0.713427	
150.000000	0.559524	0.628668	0.593405	0.694171	0.614081	0.648179	0.617970	0.631328	0.583413	0.601090	0.687420	0.624460	0.570588	0.586637	0.636386	0.678813	0.689644	0.522400	0.620516	0.676533	0.614921	0.573187	0.718470	0.503771	0.752234	0.772963	0.705942	0.663513	0.686346	0.662980	0.700801	0.650382	0.700177	0.692186	0.734202	0.595598	0.717218	0.591730	0.818555	0.701554	0.685410	0.452838	0.858925	0.711586	0.742549	0.732001	0.809233	0.795105	0.787086	0.621338	0.803563	0.806511	0.609254	0.791997	0.652650	0.667590	0.669254	0.768631	0.650091	0.796800	0.703246	0.791250	0.652665	0.708291	0.746163	0.816215	0.776957	0.815554	0.537077	0.794789	0.849426	0.690477	0.776255	0.808157	0.775702	0.809458	0.770649	0.788954	0.803148	0.819911	0.819233	0.680305	0.776990	0.807592	0.787529	0.812263	0.815569	0.697699	0.766645	0.782539	0.782441	0.703580	0.792321	0.831957	0.716925	0.801057	0.761067	0.825923	0.606486	0.460010	0.682744	0.775539	0.775003	0.827339	0.852558	0.687701	0.713347	0.652991	0.797685	0.815066	0.555823	0.811980	0.784194	0.819850	0.694821	0.758653	0.813038	0.825887	0.812583	0.745248	0.789793	0.799838	0.727579	0.690304	0.733303	0.594373	0.724686	0.703860	0.730224	0.775903	0.767056	0.703284	0.747079	0.750594	0.782379	0.706492	0.754113	0.782400	0.665475	0.714714	0.650201	0.655502	0.672211	0.669635	0.675390	0.715806	0.677397	0.638033	0.691181	0.672572	0.673577	0.722580	0.657540	0.673131	0.683591	0.640669	0.713534	0.712466	0.713534	
200.000000	0.580792	0.639745	0.598075	0.714461	0.629570	0.669409	0.635284	0.652882	0.621635	0.634815	0.714087	0.630270	0.591759	0.630136	0.631796	0.705466	0.725941	0.550344	0.637514	0.727759	0.629809	0.580527	0.693750	0.517660	0.764647	0.787836	0.716057	0.675507	0.691083	0.658676	0.697478	0.651824	0.720559	0.698220	0.736506	0.601790	0.721956	0.595553	0.822048	0.702826	0.685143	0.417734	0.874069	0.716183	0.755311	0.707948	0.817396	0.788658	0.786531	0.636904	0.806896	0.806993	0.598484	0.793710	0.671211	0.684713	0.659500	0.761010	0.658742	0.794716	0.701230	0.814427	0.669432	0.724592	0.762643	0.831245	0.791533	0.836097	0.539414	0.800484	0.885994	0.697927	0.786959	0.821631	0.774513	0.822930	0.775122	0.803059	0.807403	0.832198	0.834070	0.690951	0.795586	0.815959	0.790481	0.828689	0.822141	0.694563	0.776686	0.797667	0.782379	0.719130	0.796238	0.845948	0.739753	0.816663	0.769247	0.834171	0.598050	0.513670	0.696263	0.792732	0.770203	0.846445	0.879573	0.676850	0.716574	0.657795	0.797201	0.834323	0.558524	0.813755	0.795067	0.807857	0.699295	0.765729	0.815422	0.839879	0.826651	0.731786	0.792300	0.812024	0.733201	0.684160	0.735173	0.591017	0.733296	0.699171	0.728508	0.784296	0.773640	0.694166	0.746567	0.761060	0.803120	0.697011	0.763127	0.802569	0.657378	0.712220	0.661594	0.678182	0.673316	0.672298	0.692624	0.715779	0.684021	0.642881	0.690847	0.703964	0.686159	0.704736	0.659391	0.674603	0.688953	0.647815	0.722127	0.716379	0.722127	
250.000000	0.585123	0.643342	0.596555	0.694786	0.621423	0.661888	0.634210	0.650937	0.579808	0.631702	0.704972	0.647190	0.595275	0.621581	0.638308	0.702003	0.680653	0.516744	0.633096	0.718952	0.616594	0.582794	0.703265	0.503468	0.759965	0.782371	0.727752	0.680956	0.698954	0.664793	0.712172	0.661839	0.721975	0.700934	0.743061	0.600088	0.723737	0.597084	0.827695	0.703880	0.689199	0.432292	0.885413	0.694896	0.743405	0.717445	0.822302	0.785658	0.792413	0.601599	0.808863	0.811829	0.604437	0.797227	0.643047	0.662722	0.639477	0.769148	0.623308	0.783730	0.691532	0.810035	0.657032	0.715773	0.761717	0.831576	0.793353	0.846212	0.537607	0.805381	0.884357	0.683850	0.792628	0.833832	0.780620	0.832054	0.770422	0.806581	0.811740	0.842464	0.846769	0.677236	0.793819	0.822742	0.785732	0.833258	0.833409	0.699668	0.779969	0.805779	0.795346	0.708893	0.807783	0.852783	0.731194	0.820434	0.778022	0.838076	0.603268	0.454033	0.691187	0.798342	0.776038	0.847677	0.893963	0.679662	0.720755	0.658275	0.796116	0.836976	0.587171	0.811111	0.789277	0.813741	0.701078	0.749477	0.810926	0.839048	0.828268	0.732712	0.793494	0.814560	0.739973	0.689962	0.736700	0.602603	0.738712	0.691737	0.734823	0.785530	0.780447	0.688054	0.746725	0.765989	0.806511	0.693175	0.759179	0.802024	0.657563	0.714083	0.666726	0.670271	0.698421	0.677742	0.693593	0.729359	0.683116	0.644485	0.682688	0.690134	0.688569	0.714861	0.666438	0.678101	0.684411	0.650060	0.721538	0.716609	0.722127	
300.000000	0.590911	0.638774	0.607717	0.704132	0.609354	0.659930	0.632314	0.649907	0.563942	0.589934	0.695405	0.631711	0.587702	0.619171	0.640638	0.726698	0.674326	0.519184	0.639978	0.714437	0.628304	0.596826	0.704291	0.498317	0.754483	0.779420	0.750989	0.697334	0.726628	0.684233	0.730526	0.679459	0.727421	0.710288	0.740974	0.603377	0.725876	0.595946	0.834522	0.710589	0.693924	0.435833	0.894073	0.691880	0.737223	0.730186	0.820636	0.797872	0.795872	0.614054	0.808926	0.814779	0.616651	0.797553	0.642700	0.652087	0.645678	0.727979	0.632094	0.744080	0.698677	0.811676	0.667668	0.725072	0.761419	0.832749	0.790850	0.843429	0.542921	0.803201	0.887724	0.696557	0.800652	0.837425	0.782117	0.832392	0.767820	0.806172	0.808609	0.844840	0.847658	0.654031	0.785588	0.822489	0.779164	0.836738	0.836672	0.700848	0.780511	0.802526	0.799003	0.704138	0.810103	0.853296	0.720618	0.817015	0.784636	0.839640	0.599309	0.478935	0.689274	0.802232	0.775326	0.866552	0.900138	0.682457	0.718508	0.641999	0.794818	0.840539	0.572824	0.813629	0.804706	0.810926	0.682736	0.761779	0.807419	0.845262	0.831491	0.726617	0.791942	0.815155	0.742372	0.687777	0.739052	0.598760	0.732930	0.696786	0.734482	0.784796	0.777003	0.682655	0.747952	0.768491	0.807619	0.695990	0.761694	0.807372	0.671570	0.726710	0.672346	0.675342	0.698368	0.674534	0.686411	0.736211	0.698627	0.645467	0.691848	0.700277	0.688419	0.707849	0.688205	0.695594	0.694393	0.656373	0.723177	0.726246	0.723177	
350.000000	0.595029	0.629073	0.604063	0.702410	0.618356	0.653819	0.642171	0.652441	0.568510	0.607921	0.685989	0.642449	0.601198	0.617966	0.650181	0.714953	0.689311	0.530605	0.632836	0.715050	0.624456	0.575885	0.711381	0.498454	0.758783	0.775264	0.745848	0.693031	0.716400	0.674642	0.726526	0.675354	0.729717	0.707864	0.741115	0.594592	0.723778	0.592593	0.831960	0.707329	0.692103	0.434675	0.909662	0.671444	0.725010	0.723298	0.828087	0.795909	0.795900	0.584413	0.811332	0.813206	0.611364	0.798957	0.642359	0.657496	0.639459	0.749297	0.638512	0.753397	0.689639	0.806893	0.661346	0.718088	0.756570	0.827150	0.789498	0.840050	0.537895	0.801769	0.897511	0.675540	0.798182	0.840762	0.777601	0.830064	0.767540	0.801650	0.807430	0.842992	0.848107	0.642758	0.782170	0.819477	0.773748	0.831663	0.841869	0.700560	0.783909	0.811379	0.790058	0.707987	0.806810	0.854431	0.717048	0.814944	0.781514	0.836599	0.593454	0.497309	0.685597	0.802725	0.774099	0.843064	0.898010	0.674300	0.719302	0.665973	0.792503	0.844628	0.546807	0.815005	0.804654	0.805491	0.667148	0.734374	0.810691	0.843790	0.829491	0.727360	0.792726	0.822203	0.740534	0.682961	0.739245	0.599136	0.736306	0.695745	0.733306	0.784684	0.781259	0.685569	0.747004	0.765925	0.806827	0.692805	0.757974	0.805917	0.668015	0.725595	0.678532	0.683337	0.709895	0.684066	0.697742	0.732210	0.708206	0.649397	0.698987	0.698445	0.691069	0.726478	0.684622	0.705192	0.691803	0.653435	0.722316	0.721300	0.723177	
400.000000	0.611397	0.658380	0.597999	0.709543	0.631984	0.671054	0.663655	0.656594	0.584375	0.628243	0.701695	0.656533	0.594902	0.627124	0.659249	0.735883	0.713953	0.530495	0.638697	0.726421	0.640013	0.589810	0.710541	0.495400	0.755786	0.781943	0.741247	0.680580	0.713487	0.672744	0.720147	0.675137	0.730181	0.707546	0.751116	0.601976	0.727843	0.603094	0.829619	0.702114	0.687891	0.438429	0.892907	0.676812	0.728222	0.707295	0.822235	0.795333	0.796621	0.598878	0.811011	0.810720	0.605416	0.797842	0.632195	0.645508	0.618642	0.727880	0.619986	0.742315	0.681076	0.814612	0.656296	0.718756	0.757699	0.833995	0.793734	0.843321	0.541051	0.799412	0.903039	0.665704	0.791540	0.835642	0.773816	0.826849	0.753990	0.799080	0.807426	0.841679	0.851055	0.660549	0.794637	0.823540	0.777966	0.829716	0.841708	0.690581	0.783192	0.807706	0.794327	0.709641	0.808152	0.856271	0.708075	0.813248	0.779863	0.837106	0.599716	0.495524	0.675513	0.793196	0.771805	0.849983	0.891131	0.678626	0.719896	0.653914	0.790622	0.848733	0.547067	0.812113	0.804099	0.803543	0.664599	0.734536	0.810247	0.844797	0.833630	0.720216	0.788607	0.821345	0.742789	0.683772	0.737215	0.596807	0.738439	0.690644	0.732626	0.783006	0.781273	0.676519	0.745788	0.765478	0.807826	0.689969	0.755940	0.804902	0.668171	0.724468	0.665487	0.678813	0.683895	0.677117	0.687351	0.736962	0.689454	0.646084	0.690179	0.692323	0.694169	0.723077	0.685608	0.697495	0.696384	0.654409	0.722235	0.720181	0.723177	
450.000000	0.592970	0.643059	0.614343	0.725529	0.636158	0.683510	0.667446	0.666280	0.600962	0.635161	0.705687	0.640125	0.601748	0.645861	0.648688	0.716609	0.721279	0.551231	0.643263	0.736845	0.632653	0.602547	0.724440	0.490980	0.757230	0.781851	0.753273	0.702765	0.716860	0.691240	0.725616	0.679682	0.726937	0.705018	0.735729	0.603400	0.728229	0.605598	0.830997	0.717829	0.700859	0.438808	0.884478	0.686911	0.730393	0.707852	0.823583	0.802207	0.799599	0.602309	0.813090	0.817452	0.622057	0.801335	0.634833	0.647614	0.640198	0.723745	0.649943	0.759542	0.711233	0.810874	0.656398	0.718796	0.759882	0.830194	0.794419	0.836959	0.542276	0.807629	0.884537	0.677362	0.791811	0.837054	0.778475	0.828221	0.758662	0.794358	0.812141	0.840500	0.848817	0.637473	0.780832	0.821719	0.780932	0.831519	0.839391	0.705112	0.786662	0.806146	0.800138	0.713626	0.812590	0.849034	0.711754	0.816744	0.776751	0.831394	0.589464	0.465694	0.663717	0.788762	0.777600	0.842798	0.860675	0.672655	0.716918	0.677409	0.792512	0.835585	0.579901	0.820737	0.805628	0.805431	0.642907	0.728560	0.810765	0.842610	0.830962	0.728629	0.795285	0.818206	0.745154	0.689189	0.745238	0.604626	0.736219	0.692875	0.734595	0.779563	0.783118	0.678829	0.752710	0.763342	0.805404	0.690647	0.759297	0.802964	0.678994	0.742597	0.687700	0.705323	0.720211	0.691134	0.707861	0.748037	0.706657	0.673257	0.703327	0.726351	0.703830	0.725275	0.683667	0.721788	0.708996	0.667526	0.726016	0.725402	0.726016	
